@relation mood-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {stemming,beeld,wakkeren,ringvaccinatie,ontwikkelingsproject,inspectiestelsels,werkelijkheid,woordgebruik,bezwaar,sfeer,hoopvol,kalmte,noordwijk,alledaagse,context,wisselvallige,luisteren,omgaat,temperen,voortgezet,uitvoerde,voetbalclub,verstandhouding,nonchalant,paniekgolf,optimistisch,gehumeurd,onverschilligheid,merkbaar,humeur,opinie,rouwproces,geest,rurale,vertwijfeling,peppen,hervormingsgezind,geluid,oorlogsstemming,wachtten,ontwijking,toon,kerststemming,turkscyprioten,inschat,separatistischer,bui,beginnen,nagelaten,anti-europese,ondertoon,heerst,strekking,alert,gelatenheid,samenwerken,gemoedstoestand,verlangen,hormonenverbod,bangmakerij,noodkreet,sentiment,afwachtende,klimaat,welzijnsclaims,reclamesector,kapitaalverplaatsing,spanjaard}

@data
1,firm:kind:anti-european:hope:hous,stemming
2,understand:commiss:want:produc:quick:result:talk:commiss:offici:sens:grow:depress:past:month:so-cal:loser:cours:bound:lose:reform,stemming
3,report:deal:reflect,beeld
4,think:time:european:left:criticis:countri:western:europ:role:break:yugoslavia:encourag:facilit:instig:hatr:aggress:ethnic:kind:result:emerg:croatia:recent:past:chang:think:good:sign:european:union:take:step:forward:help:recov:toler,wakkeren
5,holland:ring:vaccin:success:commiss,ringvaccinatie
6,fact:number:inconsist:surviv:cotonou:agreement:unwilling:reduc:underdevelop:mean:abandon:self-interest:rapporteur:sombr:regard:outcom:develop:project,ontwikkelingsproject
7,call:resili:ardour:implement:regul:tough:control:work:improv:inspect:regim:member:state,inspectiestelsels
8,certain:observ:ground:present,werkelijkheid
9,fail:summit:doe:harm:good:bring:resign,stemming
10,feel:develop:countri:risk:caus:great:disrupt:discuss:insist:pursu:question:invest,stemming
11,president-in-offic:council:dear:friend:argu:choic:word,woordgebruik
12,president-elect:fact:decid:delay:vote:commiss:listen:parliament:welcom:chang:composit:commiss:mean:show:respect:parliament:contribut:reput:strength,bezwaar
13,referendum:organis:issu:answer,sfeer
14,optimist:young:member:year:access:european:union:europ:day:schuman:day:ratifi:constitut:vote:countri:speak:estonia,hoopvol
15,thank:concili:seren:background:shall:tri:answer:basic:question:member:quit:legitim:ask,kalmte
16,presid:twenty-first:year:member:european:parliament:detect:strong:optim,stemming
17,point:give:report:inform:council:meet:noordwijk:optimist:simpli:reflect:head:govern:meet,noordwijk
18,put:reflect:quit:possibl:futur:shall:discov:commonplac:thing:vital:import,alledaagse
19,dimens:report:practic:result:achiev:presid:second:descript:direct:european:union:today,stemming
20,cours:debat:shall:cours:follow:care:point:view:forward:interpret:assembl:continu:discuss:establish:posit,stemming
21,presid:chang:prevail:introduc:posit:note,stemming
22,everybodi:express:condemn:righteous:indign:moment:come:decid:indiffer:apathi:determin:countri:insist:barbar:institut:chang:obvious:money:talk,sfeer
23,intern:today:possibl:have:thing:destroy,context
24,logic:dictat:current:rise:valu:euro:dollar:result:success:structur:polici:unless:chang:exchang:rate:dollar:euro:econom:foundat:chang:financi:market,wisselvallige
25,awar:prodi:commiss:accept:polit:respons:sure:member:commiss:polit:antenna:sens:parliament:come:problem:eurostat:account,stemming
26,listen:contribut:improv:human:right:world,luisteren
27,live:econom:nation:right:competit:commission:necessarili:easiest:job:town,sfeer
28,today:defin:freedom:think:unfortun,sfeer
29,want:increas:confid:respond:effect:interest:need:acknowledg,omgaat
30,believ:action:plan:support:european:year:intercultur:dialogu:intercultur:dialogu:manag:subdu:nationalist:right:union,temperen
31,certain:brought:complet:import:start:work:order:relationship:institut:continu:posit,voortgezet
32,finnish:presid:propos:thorough:debat:aspect:enlarg:european:council:decemb:certain:better:idea:general:member:state:regard:issu,stemming
