@relation paper-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {witboek,document,pipeline,discussienota,getoverd,papier,groenboek,versneld,papierindustrie,stuk,positief,vormt,personeelsvertegenwoordigers,werkdocument,krant,aspect,strategienota,inschrijvingsdocumenten,lees,bloeddorst,strategiedocumenten,geprivatiseerd,strategiedocument,repliek,geanalyseerd,voorstel,overlegronde,moeten,beleidsdocument,gecorrigeerde,rubricering,notitie,verkeersdichtheid,ontwerpvoorstel,subsidiariteitsaspect,illegaal,bulletin,vakbondswerk,bijrol,overlegdocument,samenwerkende,landenstrategiedocumenten,nota,vervulde,werkdocumenten,stembiljet,pedagoog,binnenkomt,kantjes,eu-antidiscriminatiebeleid,conceptdocument,burgereducatie,beheerde,voorraad,bijeengebrachte,geïnterneerd,migrant,landenstrategiedocument,administratief,feral,witboek-delors,witboekdelors,papierlozen,volschrijven,discussiestuk,bezinningsdocument,stembriefje,personeelsadvertentie,tweedekansonderwijs,discussiedocument,slowaakse,langs,middeleeuwen,negenproef,kleurenfolders,papierfabriek,tekst,beleidsnota,stemmingsdocumenten,deponeren,schrijfpapier,agenda,theorie,industrietak,oriëntatiedocument,verhandeling,identiteitsbewijs,prodi-papier,industri,bedankt,staatskrant,spaans,interpreteer,nemen,pique,handelspraktijken,toiletrol,hervormingsdocument,groenboeken,dode,overschrijven,rapport,niet-overheidsactoren,hoogstnoodzakelijk,slotdocument,vn-activiteiten,frase,bladzij,standpuntnota,beleidsstukken,bespreken,papierpulp,prullenmand,ontwerpdocument,verblijfsvergunning,verslag,paper,administratieve,papierwinkel,versnipperde,verticale,blad,toets,volgorde,evenredige,herwerkt,vel,balkon,stemlijst,pers,aangekondigde,commissiedocument,briefhoofd,proefwerk,theoretische,briefpapier,examenteksten,opgeschreven,landstrategieën,vergaan,eurobevel,verblijfstitel,discussiebijdrage,navigatiekaart,schadeloosstelling,overtuigt,doorbreng,commissiedocumenten,derdelanders,libië,inventarisatiedocument,milieuagentschap,werkprogramma,antici-groep,referentiedocument,papierbergen,serie,barroso-document,papierfabricage,beleidsmix,papierwaren,vorm,gehouden,eu-witboek,millenniumbom,ongeldige,computer,confetti,haronot,weekblad,radical,terechtkomt,tissuevelletje,overboekingsgeld,charlotte,oppositiekranten,a-categorie,adem,strategieplannen,terugzetten,papierverwerkende,stoffige,integrerend,kapitaalsysteem,witboekstadium,werkstuk,landenprogramma,hulpvaardige,prullenbak,bladvulling,lucratief,raadplegingsdocument,weinig,infernale,ontdaan,verslag-ghilardotti,opgaven,migratiewerknemers,liverpool,optiedocument,pad,onderdaan,opeisbare,nakijkt,boek,richting,voortgekomen,inzake,marktstabiliteit,menu,schoothondje,papierberg,persoonsbewijs,controleert,identiteitsdocumenten,formuleringsvoorstellen,regeringsdocumenten,crisisdocumenten,zondagskrant,stellingname,vervoersindustrie,lozen,visiedocument,koerden,schort,vollediger,coauteur,oppositiekrant,statussen,srilankaan,burgervrijheden,hoofdlijn,lei,gemeenschapszorg,papiermolen,gemakkelijker,werkgelegenheidsintensiteit,landbouwstrategiestudie,kartonproducten,archief,autonomiemodellen,parvenu,voorgelegde,zittingsstuken,programmadocument,ongenode,schrijven,gegaan,raadgevende,papiersector,éénkindpolitiek,beweerd,wuori,prehistorische,controleniveau,consultatiedocument,identiteitspapieren,ingrijpen,csp,opper-beieren,documentje,papierstroom,uitwas,omvat,gepresenteerd,basisconcept,werkinstrument,waardeloos,vermeldt,kringlooppapier,karton,achtergronddocumentatie,dikke,onschendbaar,groenboeknummering,ontwerpstuk,werkgelegenheidsaspecten,herhaalde,weegschaaltje,inkt,ondraaglijker,papierproductie,blueprint-document,papierverspilling,recapitulatie,tijdplan,papierloze,mysterieuze,oriëntatienota,beleidsplan,weggegooid,passend,witboek-stadium,armoedebestrijdingsbeleid,mooipraten,interoperationeel,non-integratie,beleidsdocumenten,geslepen,nationaliteit,decommissioning,hard,overbelaste,sfeer,essen-syndroom,gladheid,afremt,prioriteitendocument,papierwerk,burg,ontwerpmededeling,jesus,kieslijst,toetredingsperspectief,geproduceerd,promotiefolders,discussietekst,canadees,kwaliteitspapier,directoraten-generaal,geschiedschrijving,studiedocument,merk,strategiepapier,handeldrijvende,syntheseverslag,deelrapporten,paperclip,schriftelijk,uitwijst,overzicht,schrift,artikel,snelst,ochtendkrant,ongewettigde,deelneming,landenstrategie,bezighouden,documentatie,preliminaire,eu-wetgeving,papierrestanten,letterlijk,verspild,wegensector,thessaloniki-document,tekentafel,septische,jean-paul,beleidsstuk,nagegaan,kleur,mediavrijheid,terugzendingsmaatregelen,inreisdocumenten,ontwerp-tekst,ontwerp-document,stembrieven,energiestrategie,lyon,varia,aftreden,oorlogsvluchtelingen,persbericht,creditcard,schmidbauer,nulliteit,vastzitten,milli-yet}

@data
1,cours:competit:report:aid:report:share:common:ground:white,witboek
2,question:renationalis:realli:necessari:point:stress:time:white:doe:affect:merger:aid:slightest:look:devolut:area:far:regul:concern:risk:renationalis,witboek
3,welcom:white,witboek
4,especi:attract:creativ:possibl:signal:regard:prospect:white:spring:address:issu:govern,witboek
5,commission:far:said:region:polici,document
6,wait:white:commiss:far:pipelin:look:light:whilst:matter:implement:quick:comprehens:manner,pipeline
7,despit:fact:in-depth:debat:green:white:statement:complex:problemat:side-effect:prolong:legisl:matter:time:absolut:essenti,witboek
8,presid:commiss:read:white:reform:commiss:clear:appar:guid:principl:philosophi:reform:vagu:accept:parliament,witboek
9,end:commiss:adopt:communic:includ:progress:report:e-europ:week:set:agenda:econom:social:renew:europ:week,discussienota
10,draw:charter:fundament:right:danger:citizen:view:simpli:meaningless:piec:wave:occas:destin:disappoint,getoverd
11,high-level:plan:presid:doe:recognis:fundament:report:argu:worth:written,papier
12,wish:commiss:success:evalu:result:green,groenboek
13,presid:honour:friend:maccormick:thorough:critic:apprais:green:civil:liabil:defect:product:deserv:thank:work:cooper:contribut,groenboek
14,final:urg:import:undertak:member:state:includ:renew:energi:mix:electr:sector:equal:total:commit:white:renew:energi:endors:council:parliament,witboek
15,question:reform:financi:control:rais:comment:critic:demand:commiss:perfect:clear:white:import:point:reform:financi:control,witboek
16,green:present:happen,groenboek
17,confirm:probationari:period:set:white:includ:contract:new:appoint:long:period:systemat:assess:perform:includ:appoint,witboek
18,confid:pomé:ruiz:attitud:respond:white:let:hijack:minor,witboek
19,mrs:fourtou:report:valuabl:provid:import:gloss:commiss:green:combat:counterfeit:piraci:singl:market,groenboek
20,way:reason:seed:green:limit:doubt:cooper:compet:author:pool:experi:possibl:obtain:satisfactori:result:optimum:limit:fall:skew:way:think,groenboek
21,jacqu:delor:spelt:white:need:reinvent:thought,witboek
22,good:imf:poverti:reduct:strategi:align:goal:world:bank:set:year,document
23,allow:assess:merit:follow-up:communic:refin:updat:earlier:plan:order:account:new:subject:light:recent:chang:acceler:key:measur:present,versneld
24,seminar:european:industri:held:strasbourg:wednesday:repres:employe:industri:turn:intent:import:issu,papierindustrie
25,commiss:clear:horizont:cooper:agreement:general:order:work:interest:consum:grate:commission:respons:area,stuk
26,presid:green:mobil:list:obstacl:mobil,groenboek
27,line:green:mobil:benefit:recommend:report,groenboek
28,know:novemb:commiss:parliament:joint:organis:confer:reform:freiburg:confer:propos:precis:resolut:white,witboek
29,presid:ladi:gentlemen:white:food:safeti:long:overdu:respons:incid:bse:dioxin:crise:deepli:undermin:consum:sens:secur:destroy:confid,witboek
30,presid:repres:european:liber:democrat:thank:commiss:sincer:white:ambiti:object,witboek
31,presid:extend:genuin:congratul:bowi:sound:report:white:food:safeti,witboek
32,white:bowi:report:agenc:start:point:agenc:attend:extens:packag:task:accompani:legisl:measur:design:restor:confid,witboek
33,view:parliament:express:motion:resolut:taken:account:white:prepar,witboek
34,regard:secur:energi:suppli:commiss:plan:present:green:novemb:futur:differ:energi:sourc:context:improv:secur:energi:suppli:european:union,groenboek
35,belong:mep:work:reform:just:presid:prodi:seen:person:taken:develop:white:accord:recommend:receiv:year:year:court:karlsson:abli:presid,witboek
36,approach:present:european:commiss:period:month:green:examin:framework:supplementari:health:insur:scheme:propos:appropri:legisl:initi:call:commiss:commission:awar:involv:consider:work,groenboek
37,precis:import:fact:far:away:signific:achiev:report:commiss:produc:green:supplementari:health:insur:short:term,groenboek
38,know:commiss:intend:short:adopt:green:avail:energi:suppli:complianc:kyoto:object:commit:european:union,groenboek
39,annex:commiss:propos:includ:indic:target:regard:nation:level:consumpt:green:electr:necessari:achiev:total:quota:european:union:accord:object:laid:white,witboek
40,follow:statement:commiss:european:parliament:major:progress:implement:target:set:white:doubl:share:renew:energi:energi:consumpt:year,witboek
41,white:european:govern:came:recent:contain:host:worthwhil:initi:end:great:deal:area,witboek
42,propos:contain:white:extent:drawn:second:report:committe:independ:expert:possibl:commiss:equip:optimum:organis:structur:oper:method:fulfil:best:abil:task:assign:treati:encourag:exceed:limit:prerog:defin:treati:case:past,witboek
43,furthermor:countri:strategi:outlin:long-term:develop:strategi:discuss:indonesian:partner,document
44,welcom:report:posit:build:creat:better:educ:network:european:union,positief
45,commiss:certain:thought:maximum:consider:forthcom:green,groenboek
46,idea:hard:turn:realiti:practic,papier
47,libya:countri:lie:exact:heart:mediterranean:state:goe:unment:barcelona,vormt
48,today:commiss:publish:white:polici:chemic:reason:suppos:commiss:approach:protect:short-sight:financi:interest:industri:guarante:actual:rid:hazard:chemic,witboek
49,far:progress:concern:februari:commiss:consider:seri:detail:draft:propos:submit:consult:staff:formal:negoti:staff:repres:orient:relat:pay:pension:linear:career,personeelsvertegenwoordigers
