@relation rest-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {rest,geruststellen,ongemoeid,jackson,resterende,restant,rust,overigens,duisters,aanklopt,overige,onderwerp,verzeker,verantwoordelijk,wereldmarkt,uitbreidingsverdragen,collega,bod,wanorde,trouwens,follow-upcomité,zelfde,rem,helft,rustperioden,gerustgesteld,vereffenen,rustdag,vrijgeven,aeea,logica,wereld,kunt,regulatory,enzym,erop,overal,beslag,rustperiode,rusttijd,nachtrust,rustpauze,verder,ander,houder,liggen,quotum,berust,leunen,gelegen,rusthuis,grave,drager,elders,beslissingsmacht,schijnvertoningen,gebaseerd,rusttijdenregeling,overgewicht,wegnemen,hele,ligt,verplichtende,verslag-filippi,gerust,minimumrusttijd,onthaald,strook,verondersteld,loftuigingen,einde,diepgaand,karadzic,werkgelegenheidsvraagstukken,projectleider,verzekering,tommaso,genoeg,verantwoordelijkheid,voorts,durf,pyrotechnische,paastijd,zondagsrust,minimumrusttijden,daphne-programma,eenwording,berusten,heilig,gedupeerde,milt,eu-voorstel,heel,pds,directheid,overig,maximumprogramma,onderlaag,volksonvriendelijkere,bewering,raadsvoorzitter,verbruiksbelasting,geschokt,gedragen,neus,rondreist,verzekeren,vervolg,besmettelijk,wikkelen,lag,beschaafden,nippertje,directeur,minimumonderbreking,eruitziet,kievs,gegrondvest,verdere,ding,rana,gereden,corruptiebestrijding,grootouder,verwijs,zonlicht,zeker,minutieus,parkeerplaats,anticipatie,partnerconferentie,beloop,rustperiodes,louter,poel,daarom,sem,college,buitenwereld,oppervlakkig,vooringenomen,ongerustheid,waakzaam,bevoegdheid,hoofdverantwoordelijkheid,servische,steun,autoverkeer,duivel,niet-gebruikers,mandatoren,wereldvlak,tegenstelling,goeddeels,balkanlanden,tevredenheid,vervolgdebat,opslagloods,gebruiksvoorwerp,oliecrisis,enkel,terrein,bijsturing,wijd,opiniepeiling,kwaad,troosten,bejaardentehuis,vatte,ervan,discussiefora,neergekomen,tumult,behoef,betancour,alledrie,ondervangen,bejaard,knowhow,onderhandelingstrategie,jonckheer,menigte,moralistische,weze,integratiemodel,uitrusten,uitladen,sanering,hangt,hen,daarbuiten,dies,verzekerd,hebbend,surrogaatonafhankelijkheid,slaapuren,uitstak,bijdroeg,evenals,ontzenuwd,maximumlengte,infectiehaard,buiten,scheidingslijn,blijft,gehele,prevaleren,douchecabine,padanië,gezondheidspolitiek,werkgelegenheidstop,overheb,stel,gewetensprobleem,hartprobleem,kieskringen,elche,kinderopvangplan,medewerker,toetredingsverzoek,voortbestaan,meedragen,steunt,rust-of,weggenomen,diervriendelijkheid,toenadering,hooghouden,schouder,conflictjes,folias,dagrust,strekking,pvc-kinderspeelgoed,lassen,vervelender,natuur,marktargument,gebruiksduur,afleid,verwerpelijker,zuid-spanje,belerend,productiejaren,cyclus,achterover,hoeksteen,meesten,afgaande,invoeging,eeuwigheid,geoormerkte,optreden,saamhorigheid,voorbijgeschoten,toentertijd,valt,lissabon-agenda,wars-project,overtreft,schuil,doorlopen,siësta,werkgelegenheidstelsels,seksmarkt,lokaal,marie,kapitaalverwatering,opbeurende,mensenrechtensituatie,norm,saldo,overbodig,renbaan,gerationaliseerd,lis,ieders,girão,dragende,watt,slechter,democratische,principe,onverzadigbare,locatiekeuze,ngo-gemeenschap,omgekeerd,navo-strategie,toetredingslanden,samenleving,tegemoet,uitspelen,onderhavig,cultureel,rustvoorschriften,pauzetijden,draven,recreatie,gemeenschapsleven,overgeheveld,uiteindelijke,draait,leve,aantrekkingskracht,hand,kenniseconomie,sovjetjuk,dienst,leidsman,eu-functionarissen,voer,toilet,enzovoorts,wenste,resttime,bloementeelt,stabiliteitskwestie,baltische,pilaar,cork,tegenstribbelden,gekweld,hoofdzaak,planeet,drankje,verschijnen,eenmaal,lint,belastingcoördinatie,kier,gezinsbedrijf,sluit,allemaal,verhaal,effectenhandel,hongerloontje,geïsoleerd,hoer,ontzenuwen,ingevoerd,begrotingsautoriteit,hoek,gost,rondgebeld,milieu,koers,buurland,pauze,schmitt,laten,doorheen,transitvervoer,uitvaardigen,beëindig,gevestigd,brug,verslag-morgan,stagneert,gemangeld,veraf,vistijden,eindbeslissing,bespaart,wereldgemeenschap,eerstverantwoordelijk,afsnijdt,numerieke,uitvoeringsniveau,niet-professionele,hang,rustcentra,klassenmaatschappij,aangelegenheid,deskundigheid,onacceptabele,ontketening,rusttijdenverordening,rustplaats,nürenberg-tribunaal,voortzetting,strategie,chinese,chemicaliënagentschap,arrestanten,begrijpelijk,verschuilen,stut,overblijver,zegt,overgrote,afgehandeld,gezelschap,banenplan,samenwerkingsvorm,ongebonden,overlaat,bestaanrecht,uitwerkt,grondgebied,bevestig,voorstelbare,voorbehouden,voorbereiding,zorg,trots,zinnig,krantenartikelen,danze-serfaty,toekomstmogelijkheden,paria,gevoeligheid,meekrijgt,pleidooi,laatste,inspectiebeleid,voorganger,vermoord,insolvabiliteitsprocedure,prijsgegeven,vn-handvest,werkend,verzwijgt,vertalen,variant,meerderjarige,ontsnappen,vn-mechanismen,afgesloten,volkenrechtelijk,inmiddels,zwavelrijke,schoolmeester,onsterfelijk,joods-christelijke,gerechtigd,titford,transactiegegevens,cyprioot,overhoudt,vergen,zuivel,zelfbeeld,homofobie,wagenpark,gemilitariseerd,afwachtende,belastingkwesties,hooggespannen,angstgevoelens,onschuldig,bewonderend,verlichte,hutu-gemeenschap,week,overblijft,voortouw,inmengt,uitbreiden,geneesheer,garanderen,ginds,oordeelkundiger,trauma,kapper,terughoudend,klein-joegoslavië,verwerft,tevreden,rondkomen,controlemogelijkheid,pijler,ontstaan,eindverantwoordelijkheid,nieuwkomer,klaar,verzilveren,verzekeringsbemiddeling,democratiseringsbeweging,negeren,eeuwige,redevoering,zuiden,stilhouden,waarna,doorkruisen,afhankelijk,vieren,natuurbehoud,gereikt,samenwerkingsraad,verslappen,blokkeren,immers,rusttijdbeperkingen,werpt,convergeren,ochtend,rustpunt,eu-ambassadeurs,reisorganisatie,augusteïsche,smijten,incasseren,opengestelde,overhouden,literatuur,mijlenver,thuisgevoel,meeuw,hoogvlakte,afgaat,gedeelte,buitenaardse,betuig,naderhand,vergaderdag,afzonderlijk}

@data
1,fact:decad:temperatur:risen:centuri,rest
2,discret:power:propos:point:amend:inconsist:excel:report,rest
3,inestim:import:europ:world:opportun:experi:way:order:live:societi,rest
4,lay:concern:said:present:unit:transatlant:posit,geruststellen
5,sure:provid:europ:exampl:follow,rest
6,mean:direct:adopt:qualifi:major:lay:direct,ongemoeid
7,madam:presid:grate:lay:mrs:carolin:jackson:resolut:committe:environ:care:minut,jackson
8,help:job:great:deal:educ:work:happen:recent:liter:immur:separ:roma:sinti:inhabit:communiti:repeat,rest
9,recognis:good:intent:develop:countri:negoti:write:ignor:debt,resterende
10,akin:birdal:start:serv:sentenc,restant
11,effect:appropri:in-between:oper:particular:train:period:consider:fact:career:exclus:elder:fall:victim:scalpel,rust
12,hope:year:carri:programm:forward:tunisia:region,rest
13,case:grate:aid:worthless:progress:integr,overigens
14,oil:food:programm:constitut:alibi:crime:commit:valu:iraq:allow:export:return:food:medicin:retain:compens:remain:frozen:western:bank:iraq:unabl,rest
15,europ:follow:lead:intern:communiti:especi:unit:state:shall:end:madam:presid:intend:facilit:decis:incumb:main:player:isra:palestinian:answer:poster:foster:emerg:peac:peac:wait:long:wish:hard:grasp,rest
16,latent:civil:war:complic:great:deal:result:develop:drug:traffick:colombia:countri:drug:produc:transport:world,rest
17,germani:condemn:right-w:extrem:xenophobia:need:support:europ:fight,duisters
18,wish:warn:rip:union:inner:circl,rest
19,brought:trial:ground:tortur:drug-traffick:seek:refug,aanklopt
20,wish:highlight:today:commission:barnier:outermost:region:communiti:law:fulli:appli:essenti:rule:modul:adapt:order:stimul:imped:econom:social:cohes:european:citizen,overige
21,regard:presid:report:deal:issu:level,onderwerp
22,madam:presid:ladi:gentlemen:commission:assur:twofold:undertak:fallen:council:play:determin:restor:consum:confid:strengthen:credibl:european:institut,verzeker
23,respons:put:measur:member:state,verantwoordelijk
24,institut:contribut:signific:continu:concentr:effort:common:object:cross-bord:task:left:member:state,rest
25,parliament:particular:sensit:human:right:situat:tunisia:world,rest
26,awar:demonstr:concept:cultur:divers:respect:foreign:accept:idea:right:nub:problem:help:europ:play:fundament:role:relat:world:era:globalis,rest
27,theori:start:point:competit:european:industri:competit:obtain:raw:materi:process:term:world,wereldmarkt
28,sign:rome:treati:icc:signal:commit:challeng:world,rest
29,import:classif:societi:receiv:report:damag:bulk:carrier:see:bureaux:opinion:condit:ship,overigens
30,second:point:laurel,rust
31,need:consid:near:head:govern:said:decision-mak:structur:decid:nice:poor:structur:thing:right:post-nic:start:exampl:connect:enlarg:agreement:clarifi:past,uitbreidingsverdragen
32,acp:countri:money:promis:ninth:european:develop:fund:world:financi:perspect:clariti:certainti:budget:level:develop:cooper,rest
33,geographi:countri:countri:appli:rule,overige
34,madam:presid:hous:awar:committe:fisheri:approv:report:issu:week:hope:present:parliament:part-sess,collega
35,surpris:fact:africa:especi:south:africa:look:silenc,rest
36,want:point:ensur:work:hard:cedefop:assur:risk:move:thessaloniki:just:recent:move:berlin:thessaloniki,geruststellen
37,welcom:paragraph:reserv:report:paragraph:agre:golden:rule:good:exampl:europ:follow,rest
38,think:hous:construct:suggest:respect:thank:rapporteur:van:dam:committe,rest
39,context:support:resolut:confeder:european:unit:left:nordic:green:left:subscrib:transatlant:dialogu:vote,overige
40,hous:congratul:rapporteur:report,rest
41,success:globalis:requir:isol:area:link:world:real:invest:educ:health:inhabit,rest
42,just:health:time:suitabl:work:condit,rust
43,president-in-offic:council:visit:north:korea:initi:surpris:given:greater:acknowledg:greater:influenc:american:partner:world,rest
44,condit:rapid:adopt:parliament:decis:hostil:bid:sharehold:board:manag:board:manag:decid:light:interest:employe:new:propos:creat:true:level:play:field:europ:mean:exampl:govern:intervent:golden:share:combat:takeov:ban:compani,bod
45,europ:cultur:histor:social:heritag:generat:human:right:french:revolut:build:european:histori:success:european:integr:guarante:uniqu:privileg:role:european:union:play:world,rest
46,presid:ask:floor:person:reason:speak:just:languag:issu:polit:matter,overige
47,commiss:council:greater:step:face:disorganis:societi:inevit:result:result:econom:reform:forcibl:impos:candid:countri,wanorde
48,share:view:fellow:member:said,trouwens
49,propos:set:monitor:committe:right:work:liaison:italian:member:parliament:social:forum:genoa:partner:wish:help:discov:truth:matter,follow-upcomité
50,final:say:happen:assur:trade-off:creat:money:categori,zelfde
51,hope:practic:rub:way,rest
52,possibl:behalf:tradit:accept:women:serious:irrevers:mutil:live,rest
53,commiss:believ:provid:pass:million:tonn:iberian:peninsula:european:contin,rest
54,determin:racism:articl:european:union:say:world:approach:problem,rest
55,bilater:want:undeclar:intensifi:cooper:laid:bare:weak:handicap:european:union:effect:vis-à-vi:world,rem
56,commiss:work:believ:excel,overige
57,half:way:five-year:period:set:amsterdam:summit:creat:european:area:freedom:secur:justic:serious:schedul:exampl:formul:common:immigr:asylum:polici,helft
58,mrs:thyssen:member:spoken:assur:best:intergovernment:confer:regular:contact:member:praesidium:convent:help:answer:question:pose:declar,rest
59,live:coastal:region:know:biolog:period:prohibit:area:dimens:net:tac:improv:situat:propos:green:paper:doe:way:improv,rustperioden
60,baro:ludford:reassur:mind,gerustgesteld
61,far:mention:access:union:dupui:did:fear:caus:offenc:europ:want:genuin:lay:histori:twentieth:centuri:confin:enlarg:refus:assum:respons:consequ:european:histori,vereffenen
62,hope:india:pakistan:support:european:parliament:road:danger:road:world,rest
63,christian:sunday:specif:signific:day:design:god:goe:day:christ:resurrect,rustdag
64,year:european:union:world:standardis:prudenti:rule:essenti:financi:activ:form:supervis:practis:bank:insur:author,rest
65,accord:inform:declassifi:moment:assur:ammunit:contain:deplet:uranium:use:afghanistan:indic:unit:nbc:detect:equip:afghanistan:isaf,vrijgeven
66,amend:attempt:address:concern:cabl:manufactur:make:clear:financi:respons:weee:produc:finish:equip:individu:compon:manufactur,aeea
67,presid:amend:draw:attent:hous:particular:support:general:philosophi:report:intend:priori:vote:favour:end:fact:amend:stand:total:contradict:report,logica
68,needless:say:import:matter:consid:light:signific:india:repres:asia:world,wereld
69,assur:hous:support:suggest:quit:opposit,kunt
70,respons:follow:western:safeti:regul:member:state:respons:monitor:viabl:organis:western:european:nuclear:regulatori:associ,regulatory
71,conced:step:forward:effect:better:organis:differ:european:union:decision-mak,rest
