@relation scene-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {proteststemmers,scherm,toneel,enscenering,veranderen,controlecultuur,toon,internationaal,scène,ontoelaatbare,wereldtoneel,protestactie,vergeefs,uitgehakt,reddingsdiensten,ondoelmatigheid,scheepskapitein,loontrekkende,geschitterd,vlak,techno,complexer,schillers,voorbereiding,organisatie,plaats,decor,televisiescherm,vandoor,wandelgang,reddingsploeg,platform,wereld,situatie,plek,spanningshaarden,tafereel,paradijselijke,voorval,artiest,mensenrechtenvoorvechters,koepel,smeltkroes,effent,aarzelend,bedroeg,beeld,scenario,keek,taiwanese,terzelfder,plaatse,strijdtoneel,rampplek,rica,discretie,oorlogsbeelden,geschaad,niveau,sadam,kadettrinne,coulisse,wieg,afspeelde,meerdaags,ongeval,vredesmanager,speler,partij,mamère,toekijken,stuitende,veronderstelt,emploi,drugsgebied,ruimdenkendheid,stimulerend,geopend,gewelddadige,arresteren,rampgebied,gevecht,misdrijf,allendale,veiligheidsbeleid,energiesector,aantrekkelijkheid,blijven,gemeenschap,moord,haatpredikers,debat,vervoeren,voorjaarstop,laag,lobby-organisaties,uitstorten,landschap,jubeltaferelen,wisselt,lynchpraktijken,geërgerde,gekibbel,mogendheid,verbeelding,stadion,terreurdreiging,gedomineerd,genieten,propagandaspelletje,jeffrey,vuist,straatterreur,komst,bolivar,kreupelhout,setting,medeverantwoordelijke,inmaakte,wegdraagt,weerga,krijgsgebeuren,beslissing,rauwere,geloofwaardigheid,tigris,sette,ambulancedienst,seksscène,continent,gehad,apocalyps,zwaarwegend,partnerships,geldverschaffers,zakenvrouw,gebeurd,rave-kringen,antidrugsdisco,verdovende,gordijn,wiebenga,scherpste,eilandenrijk,ngo,gezakt,bosgebieden,succesvolle,ontmoedigd,geweldscènes,verslagen-karamanou,beek,jörg,laken,poolshoogte,injectiekamers,gezagsdrager,toepassingsverordening,netwerkcapaciteiten,stormenderhand,rampplaatsen,vojvodina-hongaren,gymnastiekzalen,vluchtelingenramp,apparatuur,gezindte,energiepanorama,ingevoerd,aanzicht,martelscènes,hansen,tafreel,sportgebeuren,machtshebbers,noordoosten,defensie-inbreng,satellietverbinding,coördinerend,ii-agenda,slaags,ontsteltenis,beroering,klasse,verschijning,vrijgemaakt,draaipunt,kathedraal,vredesactie,mondiaal,opgedoken}

@data
1,doubtless:lot:protest:voter:want:chang:austrian:polici:long,proteststemmers
2,offer:prospect:profit:multin:work:year:achiev:end:have:derog:grant:occas:number:countri:join:union:extend:general:rule,scherm
3,want:central:bank:play:intern:activ:contribut:defin:new:rule:enabl:intern:financi:oper:crise,toneel
4,certain:suggest:mrs:buitenweg:refrain:make:fuss:morn:order:avoid:embarrass,enscenering
5,think:import:maintain:constant:contact:opposit:attempt:bring:chang:polit,veranderen
6,actual:fact:budget:develop:fund:broader:term:develop:sphere:clear:goal:lack:staf:level:inadequ:critic:sphere:need:work:set:enorm:backlog:control:cultur:domin:self-interest:fear:actual:result:duti:achiev:result,controlecultuur
7,final:present:report:plenari:behalf:legal:affair:committe:thank:inspir:especi:mention:hope:set:debat:tonight,toon
8,period:turkish:prison:riot:suppress:particular:bloodi:mean:follow:hunger:strike:turn:death:fast,toneel
9,opportun:european:union:improv:presenc:intern:defend:principl:democraci:human:right:legitimaci:object,toneel
10,clear:need:establish:strong:partnership:intern:end:cold:war:european:union:shirk:respons:challeng:place,internationaal
11,note:interven:order:ensur:wit:repeat:occurr:ugli,scène
12,equatori:guinea:present:unaccept:violat:basic:human:right,ontoelaatbare
13,thank:enda:kenni:said:recent:dáil:perman:represent:civil:servant:technic:good:presid,scherm
14,believ:european:union:play:stronger:role:intern,wereldtoneel
15,februari:year:belarus:protest:relat:econom:issu,protestactie
16,benefici:involv:public:battl:complex:way,scherm
17,donor:commiss:act:swift:spring:discov:humanitarian:organis:hope,vergeefs
18,steep:slope:river:douro:northern:portug:success:generat:centuri:sculpt:mountain:bare:hand:miracul:transform:stone:desol:landscap:extraordinari:beauti:classifi:world:heritag:site,uitgehakt
19,measur:offer:rescu:team:better:chanc:arriv:prompt:accid:reduct:taken:accid:occur:arriv:inform:accid:includ:precis:locat,reddingsdiensten
20,liber:process:insid:singl:market:encompass:effort:elimin:monopoli:demarc:diseconomi:damag:european:competit:hold:capac:compet:world:reneg:civil:principl:univers:access:categori:essenti:servic,ondoelmatigheid
21,support:communitar:common:foreign:secur:polici:justic:home:affair:europ:need:voic:intern:languag:forc:continu:given:prioriti:world:economi:global:organ:democrat:legitimaci:world:bank:intern:monetari:fund:princip:decis,wereldtoneel
22,consist:mean:human:right:element:intern,internationaal
23,presid:listen:care:santer:follow:came:mind:ship:caught:great:storm:danger:drift:rock:break:captain:instead:send:sos:tri:save:situat:sit:cabin:write:ship:log:provis:intend:buy:port:assum:arriv,scheepskapitein
24,commiss:observ:paid:worker:contribut:stabilis:macroeconom:moder:pay,loontrekkende
25,europ:total:absent:polit:customarili:tend:hard:commiss:credit:have:tri:play:posit:role:matter:matter:commiss:result:total:favour,geschitterd
26,bear:mind:mention:member:hypocrisi:doe:exist:intern:main:commerci:polit:partner:world:retain:death:penalti,scène
27,absenc:progress:direct:acquir:import:aim:achiev:intern:play:role:want:play:condemn:stagnat,toneel
28,question:have:reliabl:partner:intern:forgotten:saw:recent:iraq:crisi:situat:kosovo,vlak
29,presid:certain:angel:polit:begun:cooper:europ:usa,toneel
30,especi:danger:glamor:media:internet:quit:liter:advertis:new:drug,techno
31,actor:complex:file:longer:take:bring:fruition,complexer
32,remind:schiller:wallenstein:piccolomini:arriv:late:arriv,schillers
33,aim:cautious:set:nation:referendum:futur:east:timor,voorbereiding
34,second:convict:action:player:oper:intern:region:intern:organis:nation:local:author:civil:societi:organis:compani:differ:profound:motiv:aim:equal:import:term:real:impact:actual:situat:individu:local:communiti,organisatie
35,equal:unaccept:citi:clash:gratuit:violenc:allow:entri:humanitarian:reason,toneel
36,chancellor:berlin:symbol:town:nonetheless:make:shiver:bring:mind:imag:decid:cohn-bendit:armi:return:survivor:rememb:previous:war,plaats
37,set:ingredi:tragedi:inconceiv:proport:year,decor
38,screen:starv:children:ethiopia:rememb:horror:famin:horn:africa,televisiescherm
39,closest:preced:case:involv:traffic:offenc:mep:flee,vandoor
40,certain:activ:inform:use:meet:member:parliament:member:state:candid:countri:membership:european:union:attend:nation:deleg,wandelgang
41,general:favour:strong:european:union:presenc:intern,scène
