@relation side-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {intellectuele,onderhandeling,kant,wederzijdse,ter,partij,uitgaven,pardon,partner,diverse,communistische,zijde,zit,hutu-zijde,staat,beide,zijden,ingezien,israëliër,hoogstandje,geschoolde,verschillend,verzocht,moeten,tekortschoot,iedereen,rapporteur,richtlijn,onlosmakelijk,prestatievereisten,echter,fischler,permitteren,hetzelfde,ricard,staan,bekommert,grootkapitaal,veeteelt,jaar,deels,gene,cork,zulllen,beiden,burger,ander,hervorming,anderzijds,bekend,oever,ruis,neveneffect,degressiviteit,ontwikkelingsprogramma,eenzijdige,vrees,volk,overzijde,standpunt,twijfel,raad,trotse,breedbandtoegang,aspect,werk,recht,passiva,ijzeren,lidstaat,kamp,medaille,overheidssteun,schuif,alle,nederlandse,vod,coöperatieve,onderwerpingsbesluit,belangrijk,welsprekendheid,stonde,eindstatus,lid,wij,beleid,begrijpen,geeft,terecht,negatieve,europese,zeker,tweeërlei,grote,binden,probleem,richting,diversiteit,committeert,omslag,independence,berghelling,weerszijden,tussen,dimensie,palestijnse,israëlische,gelid,parallel,moordpartij,verkeersveiligheidsbeleid,persoonlijk,ervoor,subject,tussentijds,fabriek,politieke,antagonist,tendens,imia,toegankelijkheid,onze,somberheid,denkt,vraagzijde,rechterkant,bijvoorbeeld,motie,vervolgens,zullen,adac,beroepscertificatie,verband,hoogste,moeilijker,komt,beginnen,overigens,lanceren,macro-aspecten,verantwoordelijk,oslo-initiatief,laten,vinden,beperkt,stad,belangrijke,parlement,inkomstenzijde,inwerkt,onbelangrijk,controverse,voorhoudt,methode,zegge,begraafplaats,onderdrukkende,textielfabriek,begroting,wegdragen,dialoog,slaan,unita,mevrouw,goudschaaltje,conflict,alom,tak,derde,blijk,afspraak,verslag,unie,ophouden,trotters,commissie,land,trojka,europa,fractie,besteed,oneens,wederhoor,conventie,ontvangstenzijde,egoïsme,discotheek,bondgenoot,elkaar,inkorten,manche,middel,ontwikkeling,zien,leiding,opkomende,zowel,tasjesdieven,aangezien,hoek,wijs,waarde,verschillende,discussiebereidheid,kleur,betreffende,werkelijk,bepaald,gesteund,euro-egoïsme,effectieve,opmerkelijke,mening,enigszins,gelegenheid,volkspartij,vreedzaam,beider,termijn,parlementaire,biografie,proberen,blij,stoep,bruin,gemeenschappelijke,reder,late,ijver,vertrouwen,bijeenkomst,oslo-proces,vechten,diergezondheid,iran,welke,belastingvrije,gefusilleerden,omgekeerd,vrede,internationale,bijziend,symbool,schapenhouders,aansprakelijkheid,overal,buiten,bevorderingsmogelijkheden,tekortschietende,waarheidsgetrouwe,maastricht,berger,grond,pery,omgaan,geïnteresseerde,etnieën,gebruik,voorstel,lerarenopleiding,systeem,geroepen,divergerend,bemiddelingscomité,rechtspositie,gewelddadige,koos,bevel,gewezen,wederzijds,ene,staakactivisten,verdrag,elkaars,daarna,voorzitter,lahore,voedselveiligheidsgebied,allerwegen,bijzondere,scheepswand,toekomstige,steunpercentages,daarop,pat,enige,moderne,bepaling,bijval,opperwezen,sluit,terwijl,kuststrook,minst,begrijp,vredesbeleid,ierse,lobbies,maren,muur,val,inleidend,dringen,elders,genève,kracht,waarvan,observatie,geld,zeer,overwaait,verschil,nogmaals,ernaast,middellandse,toezicht,omringende,gewaar,delven,sterke,baskenland,woord,strafrechtelijk,bosniër,nat,dezelfde,orgaan,normalizing,palestijn,aflatende,samenwerken,zoellick,momenteel,vertegenwoordiging,belangstelling,kleinkind,ongetwijfeld,gaan,sommigen,zekerheidshalve,testosteron,smeek,geheel,enkele,gestuurd,schaduwzijde,repressieve,zozeer,discussieronde,bedrijfspensioenvoorzieningen,onmiskenbare,evenwicht,allesomvattend,gezinspeeld,tevreden,heropvoedingskampen,geleide,efficiënter,zijnen,betrekking,meevochten,shalit,bouwsteen,eerlijk,gebeurtenis,blokkering,rug,extern,subsidie,vermoord,wellicht,naast,vraagbeheersings-programma,verrijking,effectief,concernniveau,arbeidsverhouding,behoefte,tweezijdig,algehele,vlak,vandaag,waarin,winding,blijven,macabere,botsing,concurrentiepositie,landverbindingen,verwachten,rechtsstabiliteit,vn-veiligheidsraad,benoemd,weerskanten,rondom,zeep,sides,onaanvaardbare,garage,groenen,weg,willen,geloof,opstelling,gezegd,overkant,dubieuze,finland,urban-kredieten,namiddagdebat,kijken,bepaalde,doelbewust,midden,heden,stabiliteit,bemanningslid,proteïnegewassen,gegeven,tegenover,bespeur,moordwapen,neigen,arrestatiebevel,binnen,terugtrekt,onpartijdig,bestandslijn,nauwe,onderzoek,helaas,geheugensteuntje,aarde,bijzonder,nooit,cyprische,nodige,rechts,stem,ministeriële,zoals,betreft,samenwerking,taalonderwijs,gelijktijdig,capaciteitsopbouw,biologische,transitokwestie,emissievermindering,leven,gekund,massavernietigingswapen,terrein,meerderheid,wereld,oceaan,zone,aanpak,succesfactoren,vergelding,vooral,west-afrikaanse,munt,spandoek,tunnel,geven,energievoorziening,procent,slachtoffer,tegenstrever,meespeelt,meemaken,zelfs,kloof,arts,massamedium,nadruk,deskundige,natuurlijk,voorjaarstop,bezonnenheid,evenwichtiger,verdeling,organisatiemodellen,testgebieden,linkerzijde,rechtszekerheid,wereldhandelsorganisatie,uitgewezen,achtervolger,inzien,getuigenis,licht,mededingingsbeleid,gelijk,aanmoedigen,moeite,nieuwe,bepaalt,eenzijdig,radicaliseringsspiraal,ongerustheid,communautaire,succesvolle,afschudt,verkiezingscampagne,gebied,gedeeld,waarschijnlijk,woedden,zodat,tekenend,ondergaan,respectieve,westers,kernenergie-installatie,houden,billijker,betekenis,kwestie,wetgeving,werkloosheidsbestrijding,samen,besluit,terreurorganisatie,gesprekspartner,uiterste,gehad,betekent,besproken,gezicht,gemakkelijk,zaak,grens,prijs,schleicher,afgevaardigde,servische,participatie,meest,azerbeidzjan,goed,transparantere,partijkiezen,liefst,vasthoudendheid,artikel,terroriseren,industrieterrein,dialectiek,gebruikersvriendelijker,symptoom,acht,taaislijmziekte,alcue-programma,welkom,geciviliseerden,daarmee,tegengesteld,verstandig,productiekant,noordzijde,hen,arbeidersklasse,zorgvoorziening,implantaten,weerwil,zelfrechtvaardiging,denk,benadrukt,stond,actiebereidheid,daarvan,oplossing,goede,compromisbedrag,twee-statenoplossing,heel,steun,lobbyist,gezichtspunt,waarschuwen,uiteraard,kronberger,integendeel,positieve,weigeren,ongewenste,mrl,vleugel,bezield,vaak,blijft,verhoog,famagusta,pluimage,kwam,plaats,instelling,aandacht,gestoken,moest,doorn,kwaliteit,misdaadnetwerken,graag,via,wel,medische,pool,één,kernenergie,tien,geval,staten,verhouding,opgeven,inzake,positief,benchmarking,evenwel,bescherming,daarover,brittan,jarenlang,toerisme,gemeenschappelijk,voorbereidingstijd,wereldwijde,autotechniek,natuurramp,strekt,functie,conservatieve,gewonnen,mensenrechten,vredesovereenkomst,gedistantieerd,rate,gepleegd,toe,oorlogvoerende,koel,maatregel,gemeenschap,wetenschappelijk,uittreksel,rekening,informatietechnologieën,versoepelen,schep,arrestant,reims,zwaartepunt,verkeer,consensusgerichte,stadion,biarritz,opoffering,polemiek,ambt,grensoverschrijdende,waardevolle,computerscherm,rol,vrijwilligheid,federale,document,begraving,daardoor,keer,alternatief,zinkend,vrouwelijke,deugd,onenigheid,veiligheidsbetrekkingen,lukte,uitnemende,belangwekkendste,eindelijk,aangekaart,eis,schaamt,medicijn,inwoner,fan,gemengd,mkz-crisis,mengden,feliciteren,wijdere,krachtige,veiligheidspartnerschap,blair,doeltreffendheid,amendement,zichtbaar,stabiliteitspact,luchtvaartmaatschappij,intrigeert,front,zorgt,volksreferenda,aanrekenen,voorstander,geschorst,wereldomspannende,dubbelhartig,bijwerking,leidraad,kennis,werknemer,proportie,beeld,noordelijke,project,anderhalf,organisatie,maginotlinie,wilt,vrouw,daarom,partnerschapsinstrument,peinzen,mee,opstelden,liberalisering,geit,bezetting,geharrewar,frontpagina,strikt,stap,druk,bosbouwprogramma,bekijken,sjirinovski,tweezijdige,poggiolini,zijdes,informatie,beïnvloeden,onbeleefd,uitwisseling,verliesrekening,drieste,werkgelegenheidsbeleid,arbeid,wanneer,gestoeld,republiek,hoopvolle,principe,verdienste,gerekt,turk,discretie,rechtsstaat,budgetbeleid,institutionele,overheid,ontzettend,bescheid,invalshoek,afgesproken,ordehandhaving,noordelijk,onderzoekactiviteiten,afgerond,ashkali-roma,streep,achterkant,bijkomende,noch,gewijzigd,evp-hoek,verenigde,nemen,begaan,antónio,betrokkene,onontbeerlijke,minder,verantwoordelijke,echografie,interesse,weten,harbinson,gestreden,eenheidsmarkt,verbouw,tegens,vitorino,euro,royale,verstandhouding,voorzichtig,soort,onvrije,afvragen,geweldsniveau,herhalen,oezbeekse,vraag,tegengestelde,nee-kamp,mededingingsgedeelte,kmo-programma,hoop,diversificatie,gedeelde,europees-russische,baltische,gefuseerde,eerlijker,waarom,handelspartner,onderhandelen,taal,blijkbaar,daarginds,uitgewisseld,onderhandelingsfase,belangrijkste,zat,zaterdag,aanpassing,weldra,voorzichtigheid,opsomming,beroep,voortdurend,vliegtuig,dragen,ilsa,gelijkgerechtigdheid,beginsel,tijd,maakt,eminente,gemaakt,onderhandelingsbevoegdheid,qua,koerdische,pressie,verzetsbeweging,arbeidsmarktpartners,partijpolitiek,personam,initiatief,beweging,herkansing,dienen,weerszijde,nauw,kostwinner,schip,poging,tweerichtingsverkeer,zuiden,samenleven,conflictgebied,pakket,stemmengewicht,triest,tunesische,eind,beheersinstrumenten,enerzijds-anderzijds,plaatst,lichtkanten,schaart,ervan,gerechtvaardigde,ongerechtvaardigde,morganini,oorlogsbodem,volgens,luchtverkeersleider,voortdurende,juiste,cyclus,rest,ondersteuningsfonds,barkas,tijdens,russische,good,niemand,interpreteren,dierbaarste,economie,zweedse,aanslag,duurzame,albanees,beseffen,palestina,eurozone,rusteloze,verweten,geknechte,rechtsgrondslagen,debat,banksector,overspoeld,enerzijds,oost-finland,losmaakt,comitologieprocedure,geslaagd,signaal,cijfer,week,iraanse,juist,kies,allemaal,pretoetredingslanden,begaat,nakomen,strijdlustigheid,economisch,partijdig,geamuseerd,vredesproces,gebleken,bezoek,korte,gedegenheid,medewerking,leeftijdsgrens,inderdaad,slechts,uitmuntend,afgeschrikt,bonino,controlerol,uitbreken,verlengstuk,turkse,begin,beledigen,vordering,joegoslaven,gevraagd,controle,rijp,trouwens,metafoor,herinneren,terzijde,onafhankelijker,vertraagd}

@data
1,presid:walk:away:debat:grate:parliament:knowledg:european:parliament:intellectu:polit:support:appear:come:hous:competit:polici:basic:appreci:work:commiss:carri:confid:abil:continu:deliv:futur,intellectuele
2,govern:propos:way:turkish:cypriot:think:right:council:commiss:urg:turkish:cypriot:institut:framework:negoti:conduct:republ:cyprus,onderhandeling
3,devot:energi:aid:cypriot:green:line:find:solut:conflict:last:far:long,kant
4,hope:access:money:avail:assist:cyprus:use:part:promot:reconcili:rebuild:trust:divid:communiti:cyprus:accept:money:spirit:given,wederzijdse
5,appropri:given:year:celebr:year:cooper:lomé:short:sign:new:advanc:partnership:agreement:upgrad:joint:assembl:genuin:parliamentari:assembl,kant
6,pleas:amend:concern:human:digniti:uniqu:common:inviol:obtain:support:committe:constitut:affair:establish:common:view:human:effect:basi:urgent:global:fight:death:penalti:struggl:life:fight:tortur:sex:trade:sexual:exploit,ter
7,presid:conclus:trade:negoti:european:union:mexico:consid:posit:perspect:mean:new:durabl:framework:institutionalis:polit:dialogu:cooper:provid:trade:pact:work:benefit,partij
8,allow:come:strasbourg:russian:author:frighten:free:open:report:independ:journalist:look:critic:wish:throw:light:truth:reveal:genocid:commit:chechen,kant
9,intern:communiti:concern:region:legitim:particular:possess:nuclear:weapon:dialogu:stage:effect:broken,partij
10,point:consider:increas:need:expenditur:simpli:order:honour:old:commit:past:cours:paid,uitgaven
11,instead:coland:nation:scheme:afraid:lose:water:instead:water:hard-earn:money:work:citizen:drain:away,pardon
12,rapporteur:good:commiss:communic:aviat:environ:know:issu:environ:competit:live:strong:feel:debat,partij
13,cooper:industri:essenti:order:maintain:situat:non-inflationari:growth,partner
14,report:rais:issu:lie:content:outsid:scope:new:framework:electron:communic,diverse
15,communist:parti:greec:stand:firm,communistische
16,regard:effort:strengthen:european:strategi:job:employ:guidelin:revis:industri:includ:nation:level:invit:play:import:role:definit:implement:evalu:guidelin:fall:scope,partner
17,practic:polici:promot:faith:serv:busi:usa:submit:order:promot:new:order:interest,zijde
18,fact:game:luck,zit
19,mayb:drag:negoti:longer:order:gather:everybodi:tabl:awar:long:key:player:hutu:tutsi:meet:real:peac,hutu-zijde
20,european:perspect:recognis:right:isra:palestinian:state:exist:illustr:clear:week:remark:visit:presid:parliament,staat
21,presid:propos:amend:amend:mention:extrem:mention,beide
22,common:rapporteur:wuermel:believ:interest:parti:treati:transit:period:deleg:border:region:mrs:schierhub:own:farm:vicin:czech:border:matter:concern:format:close:common:econom:area:manag:major:problem:lead:posit:outcom,zijden
23,head:govern:region:nation:govern:realis:educ:role:play:want:develop:econom:social:european:union,ingezien
24,british:irish:serb:croat:isra:palestinian:peopl:exist:precondit:human:exist,israëliër
25,legal:quibbl:biarritz:summit:confirm:european:enlarg:matter:labori:haggl,hoogstandje
26,need:skill:qualif:servic,geschoolde
27,plenti:room:cooper:field:fisheri:willing:achiev,kant
28,injustic:job:work:differ:pay:differ:condit,verschillend
29,concern:open:paid:end:cours:work:convent:heard:major:european:non-government:organis:industri:europ:import:futur:candid:countri,partner
30,grate:deal:agreement:communic:schedul:spring:year:analysi:request:hous:propos:achiev:new:aim:futur:domain:dialogu:cooper:field:foreign:polici:secur:polici:practic:everyday:area:mutual-recognit:agreement,verzocht
31,presid:-year:span:pass:unhcr:found:seen:cold:war:aid:refuge:need:desper,kant
32,need:close:need:close:just:express:goe:say:manifest:need:close:practic:physic:geograph:main:learn:histori:make:tick,kant
33,order:work:ecolog:environment:respons:circumst:govern:set:polit:prefer:form:politicis:aid:hand:meet:oblig,moeten
34,today:statement:cooper:dialogu:econom:cultur:exchang:solidar:mutual:understand:turn:mediterranean:prosper:peac:area,zijden
35,natur:serious:concern:loss:life,zijden
36,support:journey:solut:conflict:base:peac:resolut:differ:toler:respect:human:right:consolid:peac,partij
37,work:unanim:understand:legitim:concern,kant
38,presid:european:union:longer:confin:observ:afar:happen:mediterranean:clear:conscienc:make:main:generous:donat:fund:regul:commission:patten:just:remind:time:fashion,tekortschoot
39,today:sum:affirm:first:lose:sight:inescap:object:peac:region:peac:establish:consolid:basi:accept:rule:intern:law:decis:secur:council:second:europ:attempt:resolv:conflict:assum:respons:befit:polit:influenc:valu:interest,partij
40,read:lot:hard:work:effort:technic:commiss:propos:sincer:thank:rapporteur:savari:today,iedereen
41,took:rapporteurship:report:tri:involv:interest:parti:manufactur:right:user,rapporteur
42,year:direct:discuss:disabl:movement:generat:access:public:transport:heart:demand:opposit:hous:threaten:vote:simpli:amend:destroy:direct,richtlijn
43,believ:prioriti:improv:coordin:employ:econom:polici:coin,onlosmakelijk
44,good:exampl:fact:agreement:forese:total:prohibit:perform:requir:prevent:mexican:specifi:term:trade:foreign:invest,prestatievereisten
45,dealt:subject:journalist:daili:newspap:think:know:subject:particular:involv,kant
46,court:gave:commiss:posit:statement:assur:revenu:commit:appropri:administr:expenditur:payment:transact:case:previous:year,echter
47,equal:hand:defin:border:expand:settlement:strongest:armi:world:occupi:occupi:territori:armi:unabl:exercis:control:bean:import:let:border:septemb:besieg:bomb:villag:seal:sick:die:militari:check,partij
48,commission:fischler:pass:long:trust:meet:franci:assisi:ask:commission:slaughter,fischler
49,issu:includ:status:jerusalem:border:palestinian:fate:jewish:settlement:right:return:palestinian:refuge:discuss:year,partij
50,hesit:say:consid:give:arab:forc:includ:nuclear:forc:persuad:israel:simpli:want,permitteren
51,mitchel:commiss:hope:judgment:support:commit:work:peac:argument,zijden
52,european:parliament:deleg:just:announc:sens:chanc:success:need:will:compromis:stop,zijden
53,presid:awar:propos:come:number:belgium:develop:inform:euro:council:add:function,kant
54,posit:worker:europ:say:shall,hetzelfde
55,council:come:clear:pernod:ricard:disput:commiss:support:posit,ricard
56,notic:legisl:atlant:come:increas:pressur:support:decis:respect:govern,kant
57,want:support,staan
58,madam:presid:ladi:gentlemen:mrs:sanders-ten:holt:said:seen:question,kant
59,core:requir:singl:market:strong:support:committe:debat,kant
60,clear:commiss:look:interest:issu:era:globalis:pass:point:trade:polici:judg:footbal:match:win:complet:indiffer:thing,bekommert
61,mep:communist:parti:greec:vote:motion:major:corpor:plan:bring:unbridl:liberalis:plunder:poor:countri:wipe:farm:attack:achiev:worker:right:world,grootkapitaal
62,say:total:logic:approach:type:product:exist:region:area:hold,veeteelt
63,hous:maintain:realli:strive:open:debat:access:public:better:suit:includ:theme:european:elect,iedereen
64,year:tamper:programm:cooper:justic:matter:heavili:weight:secur:scale:especi:septemb:anti-terror:packag,jaar
65,come:month:govern:kingdom:spain:watch:faith:follow:path:mark:predecessor,echter
66,lack:number:amend:went:committe:apologis,deels
67,believ:utmost:urgenc:way:support:dialogu:peac:prospect:breakthrough:vital:need,gene
68,isra:palestinian:resum:search:peac:tandem,partij
69,just:consid:extent:kill:destruct,zijden
70,area:cork:ireland:tickl:pink:think:discuss:feminin:pat:cox:parliament:morn,cork
71,start:right:develop:servic:product:market:futur:product:enabl:galileo:self-financ:hous:want:need:absolut:clear:support:commiss:propos:end,zijden
72,sens:believ:today:resolut:unanim:support:hous:symbol:substanti:contribut,zulllen
73,repeat:offer:servic:facilit:account:relev:resolut,partij
74,commiss:continu:draw:attent:need:cooper:militari:option,beide
75,assur:india:support:combat:terror:agre:declar:terror:second:summit:second:encourag:return:negoti:tabl:quick:possibl:start:withdraw:troop,beide
76,possibl:likelihood:endang:public:health:mean:implement:propos:veer:caution:compliment:rapporteur:report,rapporteur
77,person:believ:wrong,beiden
78,want:encourag:pursu:discuss:construct:fashion:window:opportun:come:sustain:durabl:peac:settlement:good:access:negoti:complet,partij
79,presid:utmost:ensur:relat:unit:state:fulli:develop:member:state:commiss:spare:effort:summit:plan:washington:satisfi:expect,partij
80,have:said:disput:legal:basi:parliament:commiss:council:believ:crucial:swift:reassur:citizen:take:repress:measur:modern-day:pollut:today:regard:environ:reason:law:toothless:benefit:unscrupul:individu:implement,burger
81,believ:isra:work:year:fair:peac:recognis:right:way:save:isra:end:isra:militari:occup,ander
82,think:agre:joint:report:basic:line:approach:point:countri:basi:reform:contain:import:victori:econom:social:dimens:sit:second:give:maximum:european:valu:nation:polici,hervorming
83,altern:process:requir:busi:angel:group:investor:privat:investor:bring:idea:money,anderzijds
84,despit:fact:russia:cooper:council:luxembourg:april:russian:foreign:minist:ivanov:announc:outstand:issu:relat:signatur:agreement:resolv:minut:problem:arisen:russian:delay:signatur,bekend
85,relat:term:trade:atlant:decreas:increas:american:contin,oever
86,breakdown:communic:atlant:error:judgment,ruis
87,think:posit:effect:bring:degre:improv:individu:specialist:council:committe:legisl:council:legisl:bodi:right:negat:unbalanc:result:bring,neveneffect
88,continu:listen:care:hous:issu,zijden
89,propos:combin:modul:degress:appli:situat:clear:econometr:model:incom:hold:fall:case:medium-s:hold:hectar,degressiviteit
90,doe:commission:crazi:order:combat:illeg:immigr:undertak:develop:programm:mediterranean,ontwikkelingsprogramma
91,warn:import:today:especi:follow:war:afghanistan,eenzijdige
92,parliament:call:european:union:futur:member:state:good:come:month:pace:mobilis:forc:sprint:finish:line:ensur:joint:set:target:achiev,zijden
93,share:baro:nicholson:fear:superhuman:effort:govern:met:flexibl,vrees
94,hope:parliament:final:adopt:savari:report:tomorrow:believ:balanc:believ:best:report:achiev,partij
95,need:polit:leader:respect:ask,volk
96,respond:initi:taken:atlant:worst:way:delight:know:europ:realli:independ:nation:crise:particular:current:crisi:iraq:poor:old:europ:disarray:stark:differ:london:berlin:pari:extent:patent,overzijde
97,absurd:sound:wholeheart:mrs:theato:said:realli:work:absolut:clariti:utter:unambigu:variant:left:open,kant
98,think:combat:stress:harass:matter:industri,partner
99,tobacco:divis:subject:debat:differ:argument,standpunt
100,respect:human:right:insist:brought:justic,partij
101,doubt:arisen:lithuanian,twijfel
102,council:commiss:parliament,raad
103,deep:sympathi:poland:especi:present:govern:pain:threshold:think:acknowledg:necess:compromis:area,kant
104,coin,zijden
105,know:agreement:requir:respect:human:right:fundament:freedom:basic:element:domest:foreign:polici,partij
106,interim:agreement:allow:start:-year:transit:period:march:lead:gradual:introduct:free:trade,partij
107,speak:proud:citizen:old:europ:old:europ:spot:troubl:coloni:atlant:occasion:reflect:king:georg:play:hand:bad:mess:thing:instead:fetch:governor:hong:kong:finish:governor:arkansa:texa:know:happen,trotse
108,stimul:stimul:suppli:enabl:widespread:avail:multi-platform:secur:broadband,breedbandtoegang
109,natur:topic:link:coin,aspect
110,coin:case:women:experienc:work:mere:duti:right:question:equal:wage:cours:question:equal,werk
