id,phrase,classes
1,protest:member:assist:late:work,bus
2,bus:direct:secur:minimum:safeti:standard:design:buse:oper:europ:basic:requir:ensur:access:reduc:mobil:continu:manufactur:exist:low-floor:buse:better:facil:passeng:mobil:difficulti:especi:wheelchair:user:parent:pushchair,lagevloerbussen
3,equal:true:say:countri:fit:speed:limit:obvious:reason,autobus
4,item:oral:question:commiss:caveri:behalf:committe:region:polici:transport:tourism:concern:safeti,touringcar
5,furthermor:commiss:plan:near:futur:propos:obligatori:approv:vehicl:lorri:similar:forc:privat:car,touringcar
6,buse:green:fond:environment:friend:way:travel:safer:date,busvervoer
7,commiss:support:rapporteur:propos:allow:despit:instal:side-fac:seat,toerbussen
8,commiss:european:standard:hotel:inn,touringcar
9,final:striker:box:pass:goalkeep:just:ball:goal:sudden:shout:stop:turn:round:bring:ball,trainer
10,hope:hous:join:agre:britain:lead:way:europ:ensur:level:play:field:remov:aid:fit:seat:belt:mini-bus:safeti:sea,touringcar
11,opportun:ask:commiss:expect:measur:announc:improv:transport:safeti:extrem:urgent:matter:event:yesterday:sad:demonstr,busvervoer
12,amend:detract:goal:promot:bus:transport,touringcar
13,presid:behalf:concern:unaccept:high:level:lorri:accid:europ:welcom:report:commiss:work:rapporteur,touringcar
14,constant:review:issu:hope:gain:faster:widespread:implement:chang:improv:secur:buse:civil:parliament:commiss:want,touringscars
15,includ:ought:start:studi:class:iii:vehicl:class:vehicl:minibus,bus
16,problem:conceptu:drive:hors:idea:quota:respect,conceptueel
17,say:far:tourist:concern:competit:extrem:strong:categori:buse:market:current:open:tradit:nation:base:know,toeristenautocars
18,bus:driver:effect:categoris:road:haulier:carri:differ:task:requir:differ:work:hour,touringcar
19,reli:buse:extra:cost:lack:flexibl:use:exist:staff:propos:bring:knock-on:effect:lead:cutback:servic,touringcar
20,albanian:minor:town:tetovo:see:load:worker:ethnic:macedonian:worker:arriv:skopj:possibl:conclus:treat:differ,volksgroep
21,chang:rest:requir:drive:time:sever:reduc:abil:school:compani:offer:trip:abroad:econom:viabl:rate,busmaatschappij
22,improv:work:hour:better-rest:driver:road:exhaust,buschauffeur
23,presid:apart:accid:franc:hungari:terribl:accid:greec:just:easter:pupil:lost:live:tembi:thessaloniki:larissa:school:trip,touringcar
24,contrari:strike:utter:illog:commiss:propos:direct:seek:simpli:ban:side-fac:seat:kind:comfort:individu:seat:form:comfort:group:seat:type:familiar,touringcar
25,mean:increas:cost:servic:provid:pass:passeng:factor:hit:industri:hard:pressur:low-cost:flight:travel,busreis
26,buse:categori:charg,touringcar
27,agre:fulli:hatzidaki:stabilis:associ:agreement:help:countri:european:standard:regard:elector:reform,kieswethervorming
28,presid:hear:say:sure:agre:right:draw:attent:crash:occur:yesterday,busongeluk
29,madam:presid:parliament:entir:satisfi:way:council:chosen:field:intern:carriag:passeng:bus,touringcar
30,note:rapporteur:creation:uniform:simplifi:control:document:communiti:licenc:avoid:present:confus:situat:old:document:amend:hand,controledocument
31,know:titley:paid:tribut:endeavour:commission:kinnock:ensur:safe:possibl,bus
32,import:even:parliament:talk:ship-build:buse:relev:citizen:europ,touringcar
33,complet:market:buse,touringcar
34,commiss:did:approv:merger:iveco:renault:main:categori:buse:tourist:buse:town:urban:environ:buse:use:public:transport:general,toeristenautocars
35,european:commiss:approv:propos:direct:special:arrang:buse:vehicl:special:need:mobil:problem:use:wheelchair:access,reisbussen
36,presid:problem:aros:morn:assist:sudden:prevent:board:bring:hotel:monopol:despit:fact:practic:appli:hitch:past:year,bus
37,doubt:recal:propos:direct:construct:buse:gave:rise:lengthi:involv:debat:read,touringcar
38,institut:parti:involv:bus:manufactur:public:transport:oper:user:group:includ:repres:passeng:reduc:mobil:arriv:consensus,touringcar
39,recommend:second:read:dana:scallon:behalf:committe:region:polici:transport:tourism:propos:council:decis:conclus:interbus:agreement:intern:occasion:carriag:passeng:bus:com:avc,touringcar
40,seat:vehicl:servic:communiti:juli:test:accord:direct,toerbussen
41,athlet:understand:know:risk,trainer
42,posit:correct:addit:man:cover:provid:chang:necessari:send:pitch,trainer
43,numer:european:countri:especi:year:phenomenon:emerg:led:well-known:histor:club:bankruptci:spend:ambiti:plan:vain:hope:unpaid:player:debt:reach:far:fifa:uefa,trainer
44,million:european:travel:elder,touringcar
45,turn:safeti:fit:seat:belt:emphas:especi:import:fit:threepoint:seat:belt:buse:roll-ov:bar:mini-bus,bus
46,obvious:propos:design:facilit:bus:transport:nation:intern:fulli:consist:approach:set:green:paper,touringcar
47,condit:good:train:teacher:sport,sportleraren
48,tonight:face:test:address:buse:direct:address:issu:campaign:europ:million:disabl:right:access:public:transport,touringcar
49,coupl:hour:spare:come:birmingham:busiest:rout:buse:europ:join:low:floor:double-deck:buse:actual:oper:europ:meet:standard,touringcar
50,parti:came:visit:parliament:strasbourg,bus
51,accept:radic:challeng:commiss:dealt:believ:commiss:will:new:approach:board:closer:complet:singl:market:respect:nation:region:variat:buse:concern:sort:stori:start:even:young:mother:vehicl:home:town:happen,toerbussen
52,extra:cost:propos:busi:compani:lead:reduct:invest:safer:newer:vehicl:hit:industri:undermin:passeng:safeti,touringcarbedrijven
53,presid:vote:report:just:hatzidaki:remark:abil:committe:chairman:expert:european:union:transport:regul:repres:pension:parti:itali:pleas:note:allow:-metre-long:buse:hold:instead:passeng:travel:european:road:cost:travel:reduc:elder:travel:just:come:strasbourg:travel,vervoerswetgeving
54,oper:glasgow:view:hugh:propos:fulli:implement:mainland:european:oper:regard:scotland:destin:far,touringcaroperators
55,encourag:enter:honest:durabl:relationship:encourag:enter:marriag:conveni:drive:hors:direct:intent,verstandshuwelijk
56,fourth:expect:commiss:prioriti:safeti:buse:submit:propos:programm:road:safeti,touringcar
57,remind:direct:novemb:drawn:regard:safeti:buse:issu:subject:debat,toerbussen
58,road:mortal:rate:remain:high:safeti:measur:vehicl:step:light:vehicl:categori:minibus:categori:light:heavi:truck:categori,bus
59,year:common:term:mad:came:strasbourg:rome:mental:health:worker:famili:member,bus
60,tri:stress:overrid:issu:safeti:safeti:driver:lorri:carri:road:user,touringcar
61,taken:view:offer:new:opportun:bus:servic:oper:turn:generat:need:new:job:transport:industri,busonderneming
62,proceed:legisl:provid:greater:secur:injuri:caus:cours:roll-ov,bus
63,tragedi:case:school:fastidi:use:fit:seatbelt:break-down:bus:resort:differ:vehicl,bus
64,reason:want:floor:today:vote:amend:help:disabl:design:buse,bus
65,madam:presid:foremost:quot:great:dutch:philosoph:michel:famous:footbal:said:footbal:war,voetbaltrainer
66,longer:locomot:train,wagon
