id,phrase,classes
1,second:round:concili:achiev:increas:eur:million:order:reach:compromis:million,bedrag
2,got:increas:million:start:decis:increas:recommend:commiss:confirm:implement:programm,beveel
3,translat:number:countri:unreason:review:shall:men:best:year,omrekent
4,delight:note:follow:inform:discuss:taken:possibl:consider:increas:budget:propos:just:eur:million:just:eur:million,bedrag
5,respect:suggest:instead:percentag:word:signific:incorpor:necessari:obvious:talk:substanti,bedrag
6,presid:seri:quit:practic:well-argu:debat:arriv:just:christma:gothenburg:ece:protocol:logic:start,ece-protocol
7,thirty-on:million:tonn:municip:wast:inciner:excess:million:year,verbrand
8,astonish:risen:unit:kingdom:mid-:european:union:remain:relat:stabl,aantal
9,certain:number:countri:better:boast:sound:growth:sign:prosper:visibl:countri:situat:dramat:chang:wors,groeicijfer
10,defend:right:defenc:fundament:rule:law:violat:particular:absenc:trial:rafael:marqu:lawyer:permit:prove:verac:fact:judg:argu:case:concern:presid:republ,persoon
11,question:aid:urgenc:recognis:asid:moralis:approach:fine:speech:mask:cold:realiti:reflect:fall:develop:aid:africa:prioriti:given:central:eastern:europ,cijfer
12,real:time,werkelijkheid
13,let:discuss:budget:cours:quot:actual,getal
14,commiss:concern:provid:budgetari:debat:difficulti:month:report:sent:budgetari:author:guarante:cover:general:budget:annual:report:manag:guarante:fund,cijfer
15,usual:clear:develop:committe:regard:budget:pure:indic,bedrag
16,envisag:stabilis:south:africa:averag:level:eur:annum:global:eur:period,totaalbedrag
17,discuss:countri:absorb:trialogu:debat:council,triloog
18,need:opt:commiss:propos:eur:billion:total:council:propos:somewhat:lower,bedrag
19,doe:direct:experi:mep:hear:complaint:visit:smes:compani:alik:commiss:far:late:honour:payment:commit:enter:research:promot:area,betalingsverplichtingen
20,tuesday:tri:hous:believ:wrong:regul:prevent:present,cijfer
21,moment:exampl:increas:notic:exert:pressur:clout:date,cijfer
22,base:evalu:need:current:avail:set:world:bank:report:rebuild:kosovo,baseert
23,particip:rate:risen:just:aim,deelnamepercentage
24,unfortun:draft:direct:make:mention:polici:area:spite:fact:commiss:origin:draft:spite:fact:research:area:actual:grant:polici:area:includ:strateg:environment:assess,sme
25,parliament:suggest:collect:mean:port:due:way,havengeld
26,countri:highest:undeclar:work:record:highest:offici:unemploy:attract:highest:offset:region:fund,werkloosheidscijfer
27,quot:portug,percentage
28,spain:greec,percentage
29,ask:countri,percentage
30,basic:question:answer:speak:all-round:includ:milit:persona:condit:necessari:work,militant
31,avail:problem:releas:general:implement:reserv:eur:million,cijfer
32,regard:comment:domin:ka-sh:famili:subject:media:hong:kong:today:sector:hong:kong:economi:point:reason:rais:matter:rais:lead:hong:kong:subject:major:media:debat:recent:visit,persoonlijkheid
33,aim:text:today:transform:pointless:compulsori:test:promis:examin:freestyl:programm:european:union:add:valu:long:understand:role:arrang,stokpaardje
34,madam:presid:expect:announc:chair:yesterday:sakharov:prize:award:vote:present:plenari,stemuitslag
35,turn:construct:statement:assur:question,cijfer
36,somewhat:mislead:concept:coverag:differ:signific:countri:countri,cijfer
37,accord:eurostat:popul:live:averag:nation:incom:take:low-incom:threshold:measur:relat:poverti,gegeven
38,feel:addit:express:sympathi:lead:import:italian:polit:leader:member:hous:parliament:firm:condemn:incid:solidar:victim,figuur
39,fall:far:short:number:inspector:need:implement:measur:propos:port,cijfer
40,mention:forward:potenti:job:loss:issu:origin:direct:recast:propos:year,werden
41,will:support:eur:support:eur:propos:amend,bedrag
42,note:natur:scheme:show:clear:commit:protect:environ:issu:strong:futur:develop:irish:european:agricultur,spel
43,key:bear:mind:respect:forthcom:enlarg:popul:european:union:increas:surfac:area:union:increas:union:gross:domest:product:increas,cijfer
44,note:anim:appli:hold:hold:anim:fall:outsid:rule:newspap:wrong:report,getal
45,support:topping-up:appropri:implement:activ:provid:overal:eur:million:set:commiss,totaalbedrag
46,vari:depend:methodolog,cijfer
47,stress:calcul:commiss:januari:appear:complet:overtaken:event,bedrag
48,support:bösch:suggest:appoint:committe:chair:independ,persoon
49,council:contribut:point:view:come:surpris:meagr:result:arriv:result:close:gothenburg:protocol,cijfer
50,blak:resolut:state:paragraph:point:thank:million:world-wid:lack:access:health:servic:just:commiss:extern:assist:budget:went:health:educ,cijfer
51,singl:member:state:mistak:hope:mean:amend:blak:report:look:polici,cijfer
52,tabl:quick,cijfer
53,intern:displac:person:ossetia:daghestan:chechnya:compar:report:refuge:pankisi:valley:georgia,pankisi-vallei
54,extrem:high:consid:mean:individu,cijfer
55,latest:avail,cijfer
56,basi:forecast:consid:year:entir:realist,groeipercentage
57,stress:graviti:situat:half:popul:live:eur:day:doe:access:electr:child:suffer:malnutrit,cijfer
58,believ:illustr:adequ:inspect:need:carri:legisl:need:chang:monitor:step:term:complianc:legisl:anim:longer:tortur:transport,cijfer
59,second:lot:juggl:relat,getal
60,think:riad:al-turk:lead:opposit:syria:re-arrest:today,oppositievoerder
61,consumpt:employ:foreign:invest:achiev:healthi,cijfer
62,correspond:countri:euro:zone,voorlichtingspercentages
63,accord:latest:eurostat:grow:fear:lot:opportun:increas:price:good:servic:main:hit:vulner:group:consum:elder:young:poor:educ:immigr:mental:handicap,gegeven
64,regard:statist:inform:second:report:cohes:fact:stand:mind:enlarg:bring:challeng:twice:current:face:indic:region:dispar:set:doubl,feit
65,draw:nois:map:million:car:annum:reach:suggest:abandon:oper,geluidsbelastingkaart
66,talk:high,gemoeid
67,end:import:basi:calcul,getal
68,prevent:involv:educ:inform:campaign:particular:aim:at-risk:group:women:young:conduct:ground:influenti:local,genieten
69,presid:president-in-offic:council:commission:ladi:gentlemen:today:discuss:read:stage:communiti:budget:come:year:cours:talk:polit:coat,cijfer
70,want:specif:provid:vital:essenti:food:aid:civilian:popul:risk:respond:appeal:numer:key:ngos:suspend:bomb,persoon
71,result:fail:achiev:much-vaunt:object:converg:poorest:richest:region:confirm:greec:prime:exampl:increas:diverg:just:member:state:north:south:region:member:state,gegeven
72,novemb:offici:avail,cijfer
73,believ,aantal
74,madam:commission:inclin:think:submit:sort:turn:tangibl:seiz:avail:opportun:improv:matter,cijfer
75,quot:honour:member:refer:place:cross:border:croatia:slovenia:physic:possibl:legal:prohibit:instanc:footpath:road:bridg,getal
76,understand:intent:share:concern:realli:want:direct:implement:scale:make:effect:accept:propos:commiss,cijfer
77,dismay:commiss:publish:destruct:recent:mete:project:fund:european:union,cijfer
78,extrapol:stand:gain:order:eur:billion,interpolatie
79,increas:multiannu:budget:origin:eur:million:current:eur:million:achiev:parliament:all-night:sit:right,meerjarenbudget
80,huge:advantag:enabl:parti:involv:disput:negoti:basi:set:parti,bedrag
81,amend:implic:first:accept:financ:fund:action:prevent:nicotin:addict:experiment:encourag:tobacco:produc:switch:crop:econom:activ:maintain:financ:agronom:research:varieti:tobacco:damag:environ:health:second:increas:levi:produc:premium:reject:present:commiss:propos,percentage
82,follow:debat:member:state:cargo:aircraft:indic:object:view:provid:actual:implement:equip:inadequ:slow:play:role:taken:serious:realli:deliv:thing:implement,cijfer
83,surpris:voic:prestigi:independ:intellectu:religi:polit:discreet,kring
84,week:commission:fischler:told:committe:fisheri:european:union:fish:vessel:capac:alarm:underlin:urgent:need,percentage
85,council:presid:stress:programm:creat:improv:job:prioriti:presid,verplichte
86,light:initi:council:presid:ensur:nation:employ:plan:actual:cut:unemploy:rate:promot:job:member:state,cijfer
87,given:think:fair:ask:sacrific:countri:increas:fleet,gegeven
88,view:outmod:notion:import:polit:recognis:appoint:close:door:govern:repres,figuur
89,recit:speak:million:congoles:ask:speak:simpli:term:million,getal
90,upward:risk:defin:come:monetari:develop:mayb:current:wage:trend:past:inflat:work:way:new:wage:agreement,inflatiecijfer
91,proport:higher:depend:calcul,percentage
92,mugab:surviv:loss:elect:moral:victor:opposit,figuur
93,fail:observ:accid:vari:wide:differ:region:contin:world,ongevallenrisico
94,presid:start:congratul:rapporteur:work:statist:present:lack:homogen:data:reveal:violenc:women:children:extrem:disturb:phenomenon,cijfer
95,moment:possibl:grate:send,verschafte
