id,phrase,classes
1,rich:area:industri:today:area:burden:poor:mean:invest:new:sector:industri:electron:product:product:servic:industri:futur,arbeidsplaats
2,union:enlarg:proper:enlarg:take,spijker
3,first-class,werk
4,cours:defend:nation:industri:lobbi:build:europ:competit:world:market:safeguard:econom:sector:actual:competit,werkgelegenheid
5,last:presid:believ:favour:creation:medium-s:busi:subject:rigor:approv:duli:authoris:promot:creation:import:area:prevent:emerg:monopoli:compani,werkgelegenheid
6,case:mere:provid:massiv:bureaucrat:structur:control:problem:serv:creat:offici:cost:motor:industri:consum:great:deal:money,werkgelegenheid
7,creat:function:urban:environ:term:social:polici:requir:polici:long-term:creation:combat:poverti:measur:assist:low-incom:group:old:facil:children:racial:ethnic:integr:better:opportun:particip:target:public:health:polici:includ:measur:prevent:drug:abus:concert:crime:prevent:measur,arbeidsplaats
8,equal:certain:doe:mean:parti:marriag:work:hand:children:nanni:alia:immigr:opportun:obtain,baan
9,said:summari:commission:prodi:liberalis:competit:keep:inflat:low:innov:scienc:technolog:central:futur:success:european:economi:creat,werkloosheid
10,subrog:choic:fail:reinvent:new:variat:sens:histori:perceiv:self-determin:one-way:street,uitvindt
11,mean:contempl:action:like:lead:social:consequ:loss:exampl:compani:activ:search:choos:negat:damag:solut,arbeidsplaats
12,cours:possibl:lost:factori:close:idea:court:proceed:lengthi:itali:reassur,arbeidsplaats
13,creat:new:young:enter:labour:market:second:lose,werkgelegenheid
14,presid:commission:congratul:rapporteur:vicecont:spoke:length:tangibl:possibl:member:state:union:creat:way:sensibl:polici:sensibl:european:union:initi:field,arbeidsplaats
15,european:parliament:confid:reconcil:open:competit:oblig:provid:univers:servic:manner:safeguard,werkgelegenheid
16,believ:confid:human:resourc:part:macro-econom:polici:creat:demand:potenti:new:part:reli:measur:workplac:train:democratis:good:social:condit,arbeidsmogelijkheden
17,aim:reactiv:economi:long-last:strong:growth:creation,arbeidsplaats
18,open:competit:agre:telecommun:industri:energi:sector:creat:new:much-need:bring:price:industri:consum,arbeidsplaats
19,prove:greatest:weapon:fight:social:exclus,werkgelegenheid
20,simpli:unaccept:sharehold:director:plcs:decid:economi:share:price,werkgelegenheid
21,aim:improv:standard:live:worker:increas:purchas:power:guarante:safe:job:support:public-sector:social:invest:equal:opportun:combat:form:discrimin:connect:access:employ:job:barrier:polici:base:privatis:low:wage:lack:social:protect:flexibl:temporari:work:constant:exclus:women:young:special:need:market,arbeidsmarkt
22,help:great:deal:educ:work:happen:recent:liter:immur:separ:roma:sinti:rest:inhabit:communiti:repeat,ingemetseld
23,unaccept:commiss:lukewarm:countri:probabl:miner:resourc:term:human:right:relat:good:region:agriculture-bas,doet
24,presid:commission:structur:fund:target:poorest:run-down:area:european:union:greatest:need:develop:extra:money:help:begin:rebuild:economi:creat:regener:poorer:communiti,werkgelegenheid
25,constant:intens:effort:field:competit:lack:competit:mean:new:creat,werkgelegenheid
26,key:aim:defin:new:world-wid:strategi:european:union:world:economi:open:competit:truli:global:achiev:strategi:european:union:dynam:competit:econom:area:world:base:knowledg:guarante:sustain:econom:growth:better:greater:social:cohes,baan
27,bring:member:state:traceabl:food:chain:birth:slaughter:dispos:univers:appli:european:union,taak
28,committe:constitut:affair:good:taken:progress:courag:posit:area:reform:treati,werk
29,increas:number:short:term,arbeidsplaats
30,furthermor:fear:come:pass:loss:deterior:work:condit:instead:continu:rise:employ,arbeidsplaats
31,new:member:hous:committe:thank:marvel:doe:chairman:committe:courtesi:kind:firm:carri:busi,voortreffelijke
32,custom:control:intern:border:member:state:specif:context:repres:barrier:singl:market:quit:opposit:offer:protect:regard:health:safeti:european:union:resid,werkgelegenheid
33,textil:sector:automobil:industri:sphere:cultur:depend,baan
34,member:notic:finnish:interpret:good:speak:english:languag:recruit:finnish-speak:english:interpret,uitstekend
35,cours:commiss:evalu:individu:propos:welcom:fact:parliament:endeavour:ensur:futur:build:polici:reduc:burden:budget:payment,rentebetalingen
36,final:address:issu:risk:happen:staff:resourc,werk
37,increas:avail:work:forc:improv:product:improv:situat:term:creat:help:reduc:unemploy,werkgelegenheid
38,new:polici:particular:base:support:invest:creat:mean:select:polici:credit:improv:live:work:condit:reduct:work:hour:flexibl:increas:precari:taxat:incom:financi:measur:curb:specul:releas:new:resourc,werkgelegenheidsbevorderende
39,pleas:president-in-offic:recognis:engin:growth:economi:smes:provid,arbeidsplaats
40,contrari:current:creation:econom:context:characteris:increas:consumpt:wage-earn:weak:euro:favour:export,werkgelegenheid
41,absurd:insist:export:applic:countri:produc:cigarett:legal:import:person:consumpt:european:union,baan
42,presid:danger:just:stop:export:cigarett:actual:promot:export,baan
43,commiss:main:task:complet:appli:strategi:employ:aim:channel:human:resourc:new,arbeidsplaats
44,equal:concern:help:inconceiv:social:restructur:inevit:follow:wake:repeat:million:rural:farmer,werkloos
45,structur:action:continu:step:efficaci:impact:term:creation:order:sustain:current:econom:growth:especi:region:affect:unemploy,werkgelegenheid
46,think:excel,werk
47,clear:taken:thing:stage:undoubt:inevit:hope:progress:achiev:assist:council:far:cautious:futur,beroep
