id,phrase,classes
1,feel:extrem:import:european:union:play:polit:role:negoti:econom:aid,even
2,presid:agenda:lisbon:council:held:liabl:induc:dizzi,duizelen
3,welcom:rapporteur:propos:commiss:budgetari:appropri:numer:organis:right:fund:regul,begrotingskrediet
4,firm:convict:unit:european:trial,aankunnen
5,natur:difficulti:locat:euro:ppe-e:decid:support:resolut:withdraw,wedstrijd
6,wonder:difficult:adopt:european:polici:industri:polici:hollywood,hollywood
7,establish:control:extern:border:temporarili:intern:border:schengen:area:close:border:systemat:turn:away:wish:enter:territori:order:attend:footbal,voetbalwedstrijd
8,enabl:citizen:age:activ:healthi:way:great:challeng:time:requir:communiti:polici:nation:social:secur:public:health:system,afgestemd
9,emphasis:need:train:farm:diversif:includ:low-volum:product:nich:market:cooper:market:techniqu:come:individu:farm:seek:commerci:bargain:strength:supermarket:chain,supermarktketens
10,union:world-class:fish:power:largest:market:fish:produc:claim:adopt:role:import:intern:organis:specif:region:fish:organis,visserijmogendheden
11,multi-million:euro:question:word:french:commiss:presid:got:mean:ambit,ambitie
12,clear:commiss:look:interest:issu:era:globalis:pass:point:trade:polici:judg:footbal:win:complet:indiffer:thing,voetbalwedstrijd
13,crucial:test:barcelona:european:parliament:circumst,toetssteen
14,resolv:courag:enlarg:negoti:candid:countri:show:enact:wide-rang:new:law:prepar:join:european:union:member,onderdoen
15,second:observ:order:prevent:disturb:maintain:law:order:connect:footbal:foremost:essenti:organis:effici:exchang:inform:regard:risk:present:specif:type:support:travel:second:improv:coordin:organis:respons:secur,wedstrijd
16,intent:inform:descript:provid:articl:schengen:agreement:differ:aim:say:actual:prevent:particip:event:instead:implement:specif:one-off:surveil:oper:case:recent,discrete
17,draw:strategi:central:implement:local:labour:market:polici:requir:labour:market,arbeidsmarktbeleid
18,trade:oper:present:number:countri:entir:depend:raw:materi:fallen:price:situat:come:resembl:box:heavyweight:lightweight:boxer,boxwedstrijd
19,depend:commit:hard:work:vigil:member:state:tri,uiteindelijke
20,commission:tell:latest:posit:question:organis:racist:violenc:footbal,voetbalwedstrijd
21,particular:worri:express:candid:countri:racism:footbal:rise,voetbalwedstrijd
22,did:afghanistan:iraq:put:trust:militari:strength:european:union,vergelijkbaars
23,deni:real:test:rhetor:concret:act:deal:endless:stream:tortur:member:state:kingdom:spain,frase
24,understand:ford:genk:plant:remain:open:question:adjust:product:take:shift:ford:want:product:demand,afstemmen
25,approach:doe:vision:concern:european:women:daili:basi:prove:worth:complex:stand:give:want:impos:sexist:approach,overeen
26,financi:assist:propos:educ:train:bodi:prove:desir:contribut:develop:educ:system:elitist:vision:far:remov:problem:face:young:today:doe:need:member:educ:system,elitistische
27,look:care:approach:partner:countri:order:creat:suffici:possibl:close:cooper,overeenkomt
28,morn:written:presid:borrel:draw:attent:disgrac:incid:took:night:tuesday:night:footbal:england:spain:racist:abus:black:english:player,voetbalwedstrijd
29,want:second:solut:prevail:innov:chang:denounc:fact:pay:hold-up:recent:year:pay:hold-up:nice:lisbon:lack:resourc:ambit,verhouding
30,wholli:agre:shall:discreet:budget:line:baltic:sea:strategi:balanc:success:work:eurom:polici:obvious:histor:predat:work:baltic,euromed-beleid
31,long-term:object:facilit:resolut:transnistria:conflict:special:repres,strookt
32,better:invit:oval:watch:test,oval
33,respect:ensur:fund:financi:resourc:geograph:themat:enlarg:scope:applic,overeenstemming
34,presid:vice-presid:hope:introduct:singl:train:quicker:punctual:way:thing:run:minut:sure:mind:pretti:soon:want:watch,voetbalwedstrijd
35,lamassour:said:report:favour:communiti:budget:fund:transpar:fair:equit:provid:financi:framework:current:prioriti:legitim:ambit,aansluit
36,longstand:monopoli:bskyb:concern:broadcast:live:premier:leagu:end:result:auction,voetbalwedstrijd
37,princip:object:end:bskyb:longstand:monopoli:concern:broadcast:live:premier:leagu:think:object:achiev,wedstrijd
38,doe:commiss:appreci:buy:random:collect:footbal:want,voetbalwedstrijd
39,consum:welfar:measur:sole:consid:posit:want:watch:specif:team,wedstrijd
40,worth:note:accord:press:report:setanta:consid:show:pay:televis:servic:digit:terrestri:platform:freeview:premier:leagu:avail:digit:terrestri:realli:offer,kabelplatform
41,cinema:owner:young:woman:kill:cinema:shown:came,wedstrijd
42,addit:higher:weight:involv:adjust:class:elig:intervent:intervent:qualiti:hold:meat:intervent:wish:buy,gewichtslimiet
43,fish:sector:emerg:current:crisi:unless:basi:realist:calcul:european:union:fleet:final:adjust:food:resourc:avail:water,voedselreserves
44,report:mrs:aelvoet:come:just:right:action:word,overeenstemmen
45,context:council:adopt:recommend:guidelin:prevent:restrain:disord:connect:footbal,voetbalwedstrijd
46,tri:best:good:footbal:enjoy,voetbalwedstrijd
47,common:ground:council:commiss:parliament:today:global:econom:environ:improv:european:industri:competit:best:world:continu:maintain:posit:achiev,optornen
48,remind:cours:watch:europ:million:viewer:scotland:take:brazil:open:world:cup,openingswedstrijd
