id,phrase,classes
1,say:word:financi:control,achteraf
2,polici:encourag:recruit:women:administr:order:creat:reserv:suitabl:candid:futur:promot:manageri:posit,administrateursposten
3,presid:postal:servic:offic:topic:parliament:moment:right:given:import,postkantoor
4,scottish:parliament:recent:debat:refer:role:offic:especi:rural:area:play:servic:provis:sustain:rural:communiti,postkantoor
5,modernis:public:financi:system:lead:electron:cash:movement:straight:bank:account:viabil:rural:offic:threaten,postkantoor
6,turn:women,topposten
7,support:rapporteur:said:sudden:leap:begin:authoris:prepar:enlarg:polit:decis:taken:parliament:estim:understood:assumpt:languag:result:enlarg,post
8,sake:comparison:refer:period:parliament:establish:total:new:offici,post
9,propos:fact:alloc:vacant:fund:enlarg:reserv:languag:sector:provid:languag:candid:countri:repres,post
10,member:state:establish:network:systemat:monitor:observ:intens:continu:monitor:forest:ecosystem,waarnemingspunten
11,creat:vast:number:new:realloc:mean:request:total:new:year:year:particular:strengthen:area:extern:assist:health:consum:protect:environment:polici:justic:intern:affair,post
12,addit:awar:follow:commiss:recent:review:staf:need:request:addit:forward:budgetari:author:includ:signific:increas:health:consum:protect,post
13,polit:leader:civil:societi:partner:state:decision-mak:power:strengthen:deleg:situ:happen:elabor:nation:indic:programm:scope:acp:cooper,eu-delegaties
14,want:ask:border:gorica:slovenia:itali,gorica
15,commission:patten:propos:reduc:cost:meda:programm:simultan:increas:staff,baan
16,recommend:second:read:new:creat:european:court:justic:addit:necessari:fund:avail:budget,post
17,import:aim:opinion:creat:human:right:observ:repres:report:particular:issu:religi:tension,inspecteur
18,person:employ:privat:offic:member:commiss:oblig:general:select:procedur:vacant:institut:question,post
19,despit:have:possibl:sympathi:rapporteur:mrs:theato:sterl:effort:oppos:establish:independ:european:prosecut:author:stage:feder:europ:oppos,federaal
20,first:chief:execut:offic:john:robert:talk:competit:lead:improv:effici:lower:price,postbedrijf
21,final:pay:tribut:work:mrs:ogata:unhcr:wish:ruud:lubber:new,functie
22,follow-up:obvious:creat:delay:preliminari:stage:proceed:come:committe,post
