id,phrase,classes
1,readili:avail:product:european:union:know:content:jam:ingredi:cola:averag:cigarett,pot
2,surpris:follow:pol:death:defeat:khmer:roug:need:kind:nation:catharsi:applic:justic:call:account:respons,pot
3,end:ispa:appear:reason:report:slip:enlarg:melt,pot
4,presid:ladi:gentlemen:recal:entir:traumatis:terribl:year:pol:regim:cambodia,pot
5,europ:melt:meant:superst:contrari:divers:europ:wealth:begin:town:communiti:live:region,superstaat
6,right:throw:racism:so-cal:homophobia:islamophobia,scheren
7,polit:framework:afghanistan:american:play:integrist:broken:know,brok
8,compet:smaller:money:broad:object:direct:fund:defenc:cut,defensiebesnoeiingen
9,uncoop:approach:rapporteur:committe:women:right:equal:opportun:obstin:determin:listen:reason:throw:say:mean:vote:favour:report:indiscrimin:accus:religion:practis:pernici:fundament:import:reason:seek:manipul:resolut:defin:detail:asylum:immigr:polici:european:union,gooi
10,presid:hous:given:great:deal:attent:cambodia:day:pol:stone:age:communist:doctor:philosophi:sorbonn,pot
11,europ:melt:cultur:languag:possibl:thank:free:movement:studi:programm,versmelten
12,end:militari:conflict:year:war:vietnam:come:close:fall:bloodi:communist:regim:pol:violent:anti-govern:lao:intern:communiti:activ:cooper:support:indochina:term:develop:democraci:intern:forum,pot
13,wrong:start:just:throw,scheren
14,european:union:rest:intern:communiti:pressur:presid:milosev:kosovo:boil,overkookt
15,possibl:creat:room:manoeuvr:discuss:council:take:eur:million:destin:humanitarian:activ:kosovo:humanitarian:aid:carri:total:financi:packag:region,actiepotje
16,present:fine:studi:sort:pourri:written:march:attitud:offici:french:suprem:audit:offic,hutspot
17,macao:said:melt:cultur:new:meet:cultur:religion:territori:peac:tranquil:coexist:peopl:divers:ethnic:background:reign,ontmoetingsplaats
18,stress:cultur:fund,gesteund
19,presid:ladi:gentlemen:neighbour:roof:leak:lend:pan:collect:water:cours:effect:help:plug:leak:roof,pot
20,tri:demonstr:label:honey:inform:consum:origin:honey:order:prevent:honey:import:know:contain:know:pollen:confus:honey:produc:beekeep,pot
21,task:rapporteur:certain:stenmarck:look:institut:money:left:budget:ensur:commiss:disadvantag:great:extent,pot
22,great:britain:sudden:appear:market:doe:insur:biometr:risk:make:mention:talk:gold:appear:happen:unit:kingdom:quit:mistaken:inadequ:retir:provis,pots
23,technic:ethic:justifi:million:anim:die:nastiest:possibl:way:mere:cosmet:industri:produc:cream:million:cream:product,smeersel
24,today:peopl:dissolv:american:melt,pot
25,intern:pressur:forc:fulli:independ:join:new:collect:state:intend:melt:minor:slavon:peopl:manag:integr:proper,smeltkroes
26,presid:old:forgotten:extraordinari:harrow:report:came:cambodia:aerial:pictur:desert:capit:khmer:roug:leader:school:violent:tenet:french:revolutionari:tradit:possess:mixtur:polit:ideal:mass:psychopatholog:move:million:citi:countrysid:begin:new:societi:year:zero:leadership:great:pol,pot
27,true:open:window:hold:differ:view:start:smoke:cannabi:hard:drug:establish:fact:slave:heroin:start:smoke:grass,wiet
28,high:unstabl:melt:easili:explod,ontploffen
29,continu:mere:ask:europ:pay:risk:destroy:round,uitloopt
30,content:take:potluck:pretti:foreign:polici:hopeless:inconsist:downright:non-exist:time:dire:crisi:deterr:need,voorkómen
31,notori:mass-murder:hitler:stalin:mao:exist:exist:equal:respect:pol:verwoerd:saddam:hussein:kim:sung:mention,pot
32,import:person:jewel:crown:achiev:result:inform:post-berlin:negoti:strasbourg:council:agre:european:parliament:request:modifi:berlin:summit:decis:add:new:urban:initi:fund:communiti,kas
33,collect:attent:europ:best:addit:practic:guarante:best:way:guarante:macao:uniqu:natur:safeguard:continu:deal:macao:uniqu:way:put:countri,verdrinkt
34,fact:case:call:kettl:black:reason:toler:deceit:fraud:theft:taxpay:money:especi:excus:toler:thing:reason:excus:allow:line:pocket:taken:advantag:year:unpunish,pot
35,legal:system:transplant:flower,verpotten
36,sure:rememb:vivid:lobbi:debat:flower:case:mascara:contain:make-up,make-uppotjes
37,cramer:benefit:talk:term:percentag:idea:money:ertm:know:project:actual:readi:ahead,pot
38,read:horror:past:regim:pol:stalin:haunt:think:situat:exist:north:korea:today,pot
