id,phrase,classes
1,result:ban:phthalat:whatsoev:children:toy:teeth,bijtring
2,combin:articl:fact:make:short:text:subdivid:chapter:titl:true:new:motto:europ:digniti:freedom:equal:solidar:citizen:right:justic:unquestion:answer:requir:concis:clariti:concern:expect:fellow:citizen,vrijhijd
3,content:gunboat:fleet:fli:star:flag:enforc:fisheri:polici,kanonneerboten
4,true:say:bank:oper:price:deliber:keep:price:high:globalis:fewer:fewer:bank:mean:competit,kartel
5,point:fellow:member:know:question:brief:comment:wish:truli:regard:parliament:heavyweight:polit:treat:accord,zwaargewicht
6,holland:vaccin:success:mood:commiss,ringvaccinatie
7,went:gabon:south:africa:met:doctor:desper:drug:read:internet:press:releas:say:price:brought:actual:acquir:drug:treat:patient,bestel
8,presid:draft:regul:discuss:provid:implement:top-level:domain:rais:profil:european:union:cyberspac:allow:confid:creat:singl:market:shine:internet,cyberspace
9,agre:presid:prodi:said:develop:friend:stretch:russia:morocco:exclud:possibl:acced:union:condit:countri,ring
10,lot:said:vaccin:vaccin:prophylact:vaccin:vaccin:emerg:vaccin:conting:vaccin,ringvaccinatie
11,cappato:rhetor:doe:bit:true,cappato
12,first:geograph:area:mean:restrict:closest:neighbour:mediterranean:south:russia:ukrain:countri:friend:case:deal:partner:somewhat:away:border:neighbour,ring
13,object:combin:sort:polici:continu:deepen:enlarg:creat:friend:european:union,cirkel
14,awar:member:state:current:want:surrend:ident:sea:advantag:ship:display:european:symbol:propos:idea:symbol:european:union:appear:corner:flag:star:blue:background,ring
15,secretari:general:ask:govern:financi:contribut:second:protect:so-cal:protect:forc,beschermingsring
16,exampl:practic:target:legisl:prize:draw:swindl:consum:encourag:mobil:phone:text:messag:premium-r:number:prize:doe:exist,bel
17,compris:countri:aspir:membership:keen:close:cooper:countri:member:unabl:meet:criteria:candid:countri,soort
18,inform:transmit:exampl:tyre:car:refriger:portabl:termin:equip:wallet:key:home:air-condit:navig,sleutelhanger
19,member:parliament:probabl:awar:europol:carri:major:investig:week:smash:paedophil:oper:insid:european:union,pedofielnetwerken
20,first:commiss:indign:closur:renault:plant:hollow:opinion,hol
21,appear:spanish:author:run:european:law:quit:disgrac:affair,schandelijk
22,stand:sidelin:disjoint:idl:fashion:allow:slobodan:milosev:run:member:state:past,passief
23,bell,bel
24,commission:point:part:fact:mafia-styl:discov:traffick:human:life:high:profit:enterpris:situat:did:face:past,inkomstenbron
25,glad:rung:necessari:minut:sick:death:hear,gebel
26,enlarg:achiev:integr:come:threat:unless:creat:concentr:propos:european:liber:democrat:reform:parti,cirkel
27,member:public:purchas:sexual:servic:woman:trap:traffick:abhorr:wealth:crimin:organis:employ:increas:cruel:method,smokkelnetwerk
28,surpris:comment:wound:tone:misunderstood:unfair:answer:subject:paternalist,ondertoon
29,ghent:triumvir:affront:itali:europ:prodi:said:europ:depriv:strength:featherweight:intern:weaken:bit:europ:exist,ring
30,centuri:shot:fire:word:poet:emerson:round:world:unless:appeal:nurtur:wider:concept:american:self-interest:risk:menac:new:militari:millennium,emerson
31,seafar:crew:schiffsbesatzung:addit:advantag:express:use:german:version:seemännisch:german:masculin:whilst:schiffsbesatzung:seafar:crew:said:gender-neutr:advantag:term:gender:mainstream,mangericht
32,clear:western:balkan:countri:includ:prospect:membership:agre:date:set,uitbreidingsperspectief
33,want:clear:object:build:friend:doe:impli:commit:exclus:regard:enlarg:countri:right:membership:exclud,ring
34,clear:achiev:friend:know:immigr:come:europ:distant:countri,ring
35,practic:term:mean:work:follow:line:road:map:lisbon:gothenburg:agenda:solidar:countri:region:help:lag:european:citizenship:area:develop:marketplac:polit:area:extern:dimens:model:polici:choic:start:neighbour:countri:build:friend,kring
36,technic:reason:microphon:normal:appear:red:speak:work:session,lamp
37,doe:believ:general-interest:servic:treat:way:compani:produc:exampl:plastic:key,sleutelringen
38,assum:honour:member:question:motiv:find:potato:rot:seed:potato:wale:question:direct:specif:issu,aardappelringrot
39,show:succeed:project:valu:hold:dear:intern:arena:extend:prosper:solidar:secur:contin:world,voetlicht
40,aim:creat:friend:border:new:enlarg:european:union,ring
41,mention:lehn:provid:signific:intellig:cooper:contribut:text:question:decemb:sum:neat:negoti:near:year:continu:longer:situat:council:lead:parliament:danc:bear:nose:circus:arena,ring
42,question:ask:europ:provid:effect:respons:need:protect:children:violenc:abduct:paedophil:internet:abus:exploit,pedofilienetwerken
43,fine:word:good,hoogdravende
44,oper:impun:protect:friend:high:place,ongestraft
45,middl:east:great:lake:area:latin:america:union:allow:run:pay,merengebied
46,alarm:bell:propos,waarschuwen
47,euroland:take:serious:commit:act:respons:number:european:commiss,verantwoordingsplichtig
48,particular:concern:believ:defend:european:vinicultur:wto:round:throw:relat:environ:social:polici:american:design:origin:negoti:tabl:negoti:brand:name:instead,who-ronde
49,mind:tell:depart:concern:dose,bel
50,admit:success:far:number:increas:recent:receiv:report:abus:particular:albanian:kosovar:women,misdadigersorganisaties
51,add:text:focus:strengthen:framework:crimin:law:order:fight:organis:facilit,mensensmokkel
52,athen:road:complet:end:bridg:complet,ringweg
53,initi:specifi:includ:traffick:human:wish:insist:includ:smuggl:illeg:immigr:prostitut:sexual:exploit:children,prostitutienetwerken
54,travel:british:univers:speak:student:rash:star:flag:literatur,eu-literatuur
55,madam:presid:posselt:right:chancellor:schröder:elect:british:prime:minist,kanselier
56,baltic:involv:programm,ring
57,matter:baltic:come:electr:interconnect:right:round:baltic,ring
58,friend:morocco:russia:treat:term:way,ring
59,organ:strategi:increas:number:member:union:enlarg:creat:stronger:closer:proxim:polici:friend,ring
60,communic:specif:step:taken:posit:recept:communic:inspir:presid:relat:polici:cooper:friend,kring
61,context:refer:council:document:multilater:hollow,nietszeggend
62,step:road:central:object:secur:strategi:promot:well-govern:countri:border:mediterranean:enjoy:close:cooper:relat,ring
63,clear-cut:strategi:hope:conclud:negoti:bulgaria:romania:croatia:start:fast-track:union:regard:turkey:set:timet:point:morn:octob:commiss:report:decemb:decis:frame:refer:copenhagen:right:countri:start:straight:away:suggest:term:friend:say:share,kring
64,presid:prodi:said:aim:enp:creat:friend,vriendenkring
65,key:principl:friend:forg:joint:ownership,vriendenkring
66,threaten:statement:limit:right:grant:parliament:treati:minist:european:affair:fail:candid:commission,ondertoon
67,prerequisit:creation:secur:countri:region:includ:israel,randvoorwaarde
68,optimist:refer:common:destini:preambl:fals:ear:countri:suppos:fat:stuf:gullet:refus:poor:countri,klink
69,believ:comment:meet:foreign:affair:minist:member:state:held:luxembourg:octob:particular:omin,voorspellen
70,awar:long:difficult:fight:want:parti:worst:polici:support:lax:toler:main:benefit:organis:prostitut:garner:huge:financi:profit:facilit:money:launder:oper,prostitutienetwerken
