id,phrase,classes
1,clear:miss:opportun:support:substanti:arid:area:southern:europ:crop:altern,verbouwd
2,answer:order:use:lie,aarde
3,biotechnolog:offer:major:advanc:product:food:europ:advantag:farmer:consum:alik:benefit:part:world:struggl:drought:salin:fast-increas:popul,verzilting
4,second:committe:report:desir:restor:fertil:achiev:cultiv:fodder:legum,bodemvruchtbaarheid
5,doe:peasant:farmer:devast:natur:disast:drought:pest:eros:right:assist,bodemerosie
6,wish:establish:harmonis:area:immigr:asylum:contribut:develop:countri:origin:ensur:migrant:enjoy:dignifi:fair:treatment:observ:human:right:base:equal:right,bodem
7,true:motiv:terrorist:polit:nationalist:separatist:natur:european:equal:repuls:today:unfortun:outweigh:predomin:terror:especi:danger:attack:use:indiscrimin:violenc:believ:unfett:moral:human:constraint,boezemt
8,doe:come:bloodstain:invad:iraq:set:foot:greek:freedom:sure:forget:recept:greek:store:peac:recept:cours:flag-wav:voic:rais:song,vrijheidsminnende
9,environment:stake:matter:high:water:suffer:bad:over-us:pesticid:frequent:tragic:unknown:repercuss:human:health,grond
10,posit:aspect:report:hernández:mollar:emphasis:altern:extradit:european:nation:unit:state:particular:regard:crime:commit:european,gebied
11,agre:tragedi:whilst:clear:british:british:water:equal:european:intern:issu:work:counter:intern:people-smuggl:gang:exploit:poor:paid:pound:day:work,bodem
12,thunder:gun:broke:uneasi:silenc:ethiopia:eritrea:democrat:republ:congo:burundi:algeria:côte:ivoir:sudan:uganda:africa:defin:chatter:weapon:war:strive:peac:exemplifi:african:peopl:south:africa:rwanda:year:sought:address:grossest:injustic:occur:african,grondgebied
13,french:relev:french:law:question:endless:remind:law:take:preced:nation:law,grondgebied
14,unaccept:appli:join:european:union:doe:turkey:recognis:member:cyprus:keep:thousand:troop:cypriot,grondgebied
15,child:liber:militari:invas:liber:european:allow:parent:child:child:liberti,grondgebied
16,irish:govern:insist:network:wast:inciner:toxic:wast:creat:countri:introduc:explos:pah:water:air:plant:cell:irish:citizen:benzen:dioxin:wreak:havoc,bodem
17,quit:obvious:despit:balanc:comment:just:mrs:ferrero-waldn:pass:given:speak:french:spoken:french:listen,grondgebied
18,summer:warmer:winter:raini:river:flow:dwindl:humid:diminish:record:flood:extrem:drought:hurrican,rivierstromen
19,case:lock:transport:illeg:european:judici:trial:core:valu:stake:question:aris:intend,grondgebied
20,pictur:guantánamo:abu:ghraib:prison:emblemat:victori:cultur:terror:rule:law:clear:sign:defeat:declar:want:fight:terror:pictur:shown:televis:world:staff:life:extremist:fundament:secret:prison:kidnap:carri:cia:secret:agent:european,grondgebied
21,believ:respect:competit:rule:duti:commiss:european:union:impos:common:minimum:rule:busi:oper:say:perfect:solut:specif:think:compani:tax:harmonis,grondgebied
22,propos:tantamount:across-the-board:institutionalis:bias:non-european:discrimin:european:accompani:financi:speak:kind:marshal:plan:call:union:polit:speak:unilater:grant:right:ought:nation,bodem
