id,phrase,classes
1,fact:alcohol:polici:base:entir:high:price:consum:say:high:tax:alcohol,druk
2,argument:allow:new:servic:develop:doe:stand:given:servic:develop:telecommun:organis:equal:have:huge:profit:certain:cheapli,telecommunicatiebedrijf
3,compar:road:toll:railway:high:concomit:oper:cost,tolgeld
4,diseas:endem:select:appropri:vaccin:pure:lotteri,vaccin
5,situat:lead:justifi:greater:public:intervent:president-in-offic:council:said:correct:abandon:lose:sight:need:continu:structur:reform:european:economi:need:realli:competit:intern:level,ernst
6,given:sensit:subject:adopt:report:provok:negat:respons:candid:countri:enlarg:unnecessari,belasting
7,age:popul:creat:economi:provid:pension:social:safeti:net,tengevolge
8,wonder:let:union:great,vergen
9,clear:budget:avail:new:instrument:way:budget:exist:programm:remain:case:budget:initi:provid:commiss:eur:million:council:eur:million:far:niggard:scope:new:instrument:exchang:cooper:field:higher:educ,mager
10,know:long:hour:cultur:reason:bring:stress:potenti:breakdown,inzinking
11,know:mean:term:place:infrastructur:term:servic:offer,belasting
12,moment:talk:vaccin:readi:form:vaccin:diseas:mutat,stam
13,thank:mutat:human:behav:differ:way:differ:bird:differ:region,variant
14,think:need:regul:submit:regul:ensur:intern:roam:fee:base:true:cost:fantasi:price:household:budget,huishoudbudget
15,point:overshadow:bind:profound:resist:share:communiti:valu:work:world:issu:import,waardegemeenschap
16,clear:reli:egg-bas:vaccin:know:flu:month:come:stream,virusstam
17,budget:consider,belast
18,consider:given:concern:felt:repres:health-rel:profess:consum:relat:develop:resist:bacteria,resistentie
19,third:pre-access:packag:contain:attract:offer:state:wish:join:doe:excess:current:member:state,pretoetredingspakket
20,ensur:substanti:progress:bueno:air:difficult:area,leiding
21,crucial:commiss:earmark:suffici:fund:support:develop:effect:vaccin:european:isa,variant
22,subject:environment:threat:face:europ:recent:leak:cyanogen:river:danub:reveal:exist:hidden:environment:threat:imperil:europ:report:european:environ:agenc:predict:decad:centuri:product:paper:glass:plastic:wast:increas:emiss:cadmium:mercuri:rise:wast:manag:environ:heavi:metal:gase:toxic:substanc:combin,nevenstoffen
23,reliev:pressur:brenner:motorway:great:caus:problem:socio-polit:natur:free:privat:vehicl:local:heavi:good:traffic,brenner-autobaan
24,hope:convey:french:presid:tell:have:meet:strasbourg:intoler:constant,moe
25,mention:number:econom:criteria:high:rate:inflat:high:nation:debt:result:nation:budget:militari:expenditur:militari:conflict:pkk:high:real:rate:continu:predomin:public:sector:huge:region:differ:turkey:prosper:differenti:turkey:european:union:bring:control:differ:educ,overbelasting
26,draft:procur:direct:possibl:local:author:counti:council:author:procur:good:servic:way:minim:environ,richtlijnvoorstellen
27,equal:relat:repetit:injuri:hope:revisit:display:screen:direct:direct:doe:mention:mous:direct:manual:handl,rsi
28,cover:aspect:involv:organis:aspect:repercuss:later:date:repetit:injuri:stress:numer:form:non-well-b,strain
29,hundr:billion:pay:goodwil:put:busi:hamper:recoveri,overwaarde
30,hope:agre:spend:propos:ten:defenc:compat:member:state:commit:stabil:pact:great,druk
31,countri:oper:respons:polici:good:time:benefit:flexibl:bad:time:let:borrow,druk
32,recent:weekend:world:econom:forum:secretary-gener:note:conduct:intern:polit:favour:mainten:stabl:equit:rule-bas:intern:order:role:collect:secur,druk
33,dozen:virus:mutat:moment:pose:threat:europ:circul:year,virusstammen
34,instead:unfortun:recommend:mean:doe:receiv:attent:requir:promot:effect:shorter:payment:period:consequ:lead:cash:flow:european:compani,liquiditeitsspanning
35,period:result:great:budget:union,druk
36,suffer:affect:problem:involv:rise:number:orphan:health:care:fact:impact:aid:felt:particular:sexual:activ:generat:econom:activ,sexueel
37,sensit:psychologist:cope:stress:wonder:organ:financi:specialist:short:courag:manag:day:day:life:bundl:energi,psychologes
38,concern:express:great:wealth:varieti:exist:countri:european:union:reduc:result:offici:communiti:polici:standard:seed:europ,standaardsoorten
39,investig:demonstr:bacteri:resist:antibiot:specif:develop:milk:process:ensur:residu:possibl:occur:milk:effect,bacterie
40,bse:crisi:case:swine:fever:resist:salmonella:indic:alarm:basi:union:agricultur:polici:break,salmonellabacteriën
41,believ:help:particular:dealt:sensit:polit:controversi:recent:month:confer:presid:hold:stress:point:emphasi:group:wish:bring:debat:coher:parliamentari:view,spanning
42,presid:commission:vaccin:special:worst:case:scenario:fact:occur,vaccin
43,believ:current:situat:put:untold:emot:psycholog:farmer,kracht
44,addit:measur:propos:demand:institut:fund:requir:balanc:categori:concern,last
45,ask:possibl:long:term:diplomat:solut:issu:certain:place:countri:threaten:exist:doe:profound:psycholog:consequ,belasting
46,doe:sens:contrari:advoc:report:carrying-out:emerg:vaccin:epidem:cours:presuppos:possibl:ascertain:rapid:actual:diseas:involv,stam
47,emerg:period:transatlant:relationship:disput,spanning
48,way:compani:opt,belast
49,diseas:put:great:suffer:famili:financi,zwaar
50,european:commiss:ban:chicken:import:countri:affect:new:bird:flu:immedi:effect,vogelgriepvirus
51,essenti:safeguard:collegi:natur:commiss:parliament:approv:commission:individu:basi,gedrang
52,open:humankind:new:opportun:put:new:societi,druk
53,communiti:channel:effort:research:make:fund:avail:develop:obtain:oral:vaccin:effect:relev:bird:speci:combat,virusvarianten
54,duti:head:austrian:govern:care:austrian:industri:excess:balanc:open:protect:number:speaker:refer:maintain:case,gevergd
55,issu:greater:competit:greater:stress:individu:cours:known:detriment:health:major:popul,belasting
56,rememb:diseas:know:border:mean:high:virul:avian:influenza:easili:spread:problem:communiti:just:individu:countri,variant
57,cyclic:condit:public:financ:european:union,belasting
58,high-pathogen:report:year:precautionari:measur:affect:area:world:non-exist:fatal:worldwid:death:year,influenzastam
59,import:accept:moment:crisi:sorrow:live:experi:need:support:need:understand:need:diagnosi:drug,spanning
60,think:exampl:vitro:fertil:place:enorm:physic:psycholog:women,vitro-fertilisatie
61,hear:press:commiss:approv:controversi:genet:modifi:maiz:develop:ciba:geigi:appar:defus:potenti:transatlant:trade:war,geigy
62,replenish:programm:budget:certain:merit:support:principl:extra:fund:mean:intern:realloc:avoid:addit:communiti:purs:prevent:increas:nation:membership:contribut,verschuiving
63,women:world:particular:poorest:countri:bear:burden:life:endur:stress:circumst,druk
64,exampl:famous:intern:rice:bank:research:cross-breed:local:rice:led:develop:new:varieti:show:seven-fold:yield:improv,rijstsoorten
65,humanitarian:crisi:huge:albania:countri:struggl:cope:grave:econom:social:problem:think:awar,druk
66,concentr:coordin:polici:defin:context:appli:member:state:commit:lower:technic:administr:barrier:needless:busi:progress:approach:consumm:express,hinderen
67,need:imparti:studi:undertaken:advers:effect:pvc:order:prevent:ecosystem:deterior:health,belasting
68,sens:agreement:buttress:economi:region:give:structur:impuls:european:fisheri:industri,geplaagde
69,new:irish:presid:european:parliament:patrick:cox:recent:state:person:intend:conduct:yes:campaign:place:code:ethic:relat:posit:signific,patrick
70,problem:influenza:vaccin:work:vaccin:deriv:larg:diseas,stam
71,revers:commit:sever,druk
72,context:die:european:union:effect:drug-resist:affect:avian:flu,stam
73,alleg:brain:salmon:similar:caus:tragedi:bse,bse-drama
74,affect:limit:number:concern:new:flu,griepvirus
75,point:mistak:concern:antibiot:growth:stimul:food:problem:food:mean:antibiotic-resist:bacteria:problem:human:health,bacteriestammen
76,equal:obvious:unfold:situat:chechnya:put:relat:russia:consider,druk
77,new:member:parliament:feel:lengthi:discuss:topic:shake:impress:chocol:generat:pleasur:experi:parliament,last
78,second:number:project:implement:anti-drug:programm:place:addit:limit:human:resourc:dispos,anti-drugsprogramma
79,specif:technic:regul:control:gillnet:hake:fish:specif:aim:limit:fish:type:equip:caus:limit:number:net:length:net:allow:left:water,kiewnetten
80,conflict:place:partnership:relat:north:africa:conflict:western:sahara,weegt
81,doe:commiss:propos:present:member:state:excess:financi,overbelast
82,point:prophylact:vaccin:virus:imposs:know:advanc:actual:fmd:virus:brought,profylactische
83,previous:reason:kyoto:intern:crimin:court:question:iraq:relat:great:deal,spanning
84,carri:new:influenza:sar:hour:unwit:live:million:risk,griepvariant
85,obvious:mountain:area:valley:effect:kettl:environment:pollut:massiv:intensifi:citi:subject:vulner:possibl:increas:effect:traffic,verkeersintensiteit
86,pledg:great:cultur:european:law:enforc:communiti:time:somewhat:cavali:data:protect,druk
87,second:greater:communiti:support:need:develop:research:oral:vaccin:combat:promot:thereof:need:aris:total:cost:vaccin:born:communiti,virusstammen
88,eas:road:shift:transport:flow:railway,ontlasting
89,accept:cut:greater:implement:difficult:countri,haperend
90,anxious:begin:unfortun:stress:requir:presid,druk
91,human:give:rise:human:differ:person:genet:materi,wees
92,council:realli:want:achiev,ineens
93,coupl:month:scientist:germani:discov:strang:salmon,keet
94,commerci:farmer:concern:lose:forc:buy:limit:number:expens:seed:seed:breed:compani,zaadproducenten
95,remain:great:deal:allay:grow:concern:citizen:european:union:emerg:bacteria:resist:antibiot:overus:anim:human,bacteriestammen
96,exampl:work:offic:contract:repetit:injuri:day:long,muisarm
97,carri:role:regard:commiss:parliamentari:calendar:person:diari:consider,druk
98,presid:president-in-offic:commission:realli:wish:heart:given:polit:view:portugues:easier:presid:presid:caus:bilater:sanction:impos:feder:austrian:govern:countri,toegewenst
99,longer:wait:tackl:root:problem:effect:greater:resili:peopl:plant:anim,herstellingsvermogen
100,want:kind:situat:clear:take,zwaar
101,european:greater,druk
102,presid:ladi:gentlemen:arbitrari:arrest:member:european:parliament:number:fellow:campaign:vientian:sever:relat:european:union:lao,medestrijders
103,presid:president-in-offic:commission:ladi:gentlemen:recent:year:transatlant:trade:relat:come,druk
104,negat:scenario:european:union:relationship:russia:great:side:have:fail:import:test:abil:cooper:prevent:crise:accord:partnership:agreement,druk
105,shall:gnat:swallow:camel:public:health:suffer:result,verbrijzelen
106,presid:destin:live:constant:threat:outbreak:foot:mouth:diseas:new:constant:come:fore,besmettingshaarden
107,pkk:ceasefir:polit:negoti:ensur:perman:peac,druk
108,place:farmer:reform:effect:reform:stabilis,gevergd
109,question:romanian:bulgarian:economi:current:access:clear:fund:requir:year:potenti:run:eur:billion:arrang,bestand
110,last:constitut:sourc:fiscal:social:fraud:place:member:state:account,huishouding
111,reduc:specif:item:measur:combat:racism:xenophobia:anti-semit:allow:use:effect,ontlast
112,capabl:effici:handl:volum:trade,druk
113,know:number:elder:increas:work:popul:declin:mean:great:social:welfar,druk
114,awar:hiccup:peac:creat:difficulti:entir:region:put:europ:relat:arab:world:general,storing
115,public:disaffect:run:risk:alien:citizen:centr:decision-mak,vervreemding
116,want:clear:stretch:imagin:let:stretch:treati:determin:activ:absolut:clear:role:play:commiss:parliament,creatief
117,particular:famili:children:concern:air:travel:offer:quickest:mean:get:away:sun:put:nerv,enerverende
118,peac:trade:establish:closer:associ:consolid:mean:currenc:union,spanning
119,vaccin:anim:european:union:suscept:foot-and-mouth:diseas:result:vaccin:administ:million:anim:month:seven:differ,mkz
120,want:clear:expenditur:commiss:reform:put:financi:framework,druk
121,futur:commiss:agenc:case:come:want:resourc:head,springen
122,mugab:personifi:negat:african:develop:corrupt:authoritarian:power:leader:line:pocket:expens:racial:divis:exploit:envi:polit:violenc:econom:backward,rassenscheiding
123,general:speak:assum:singl:vaccin:exist:offer:protect:differ:foot:mouth:diseas,entstof
124,hope:said:today:part:except:emot:hour:job:appoint,spanning
125,technic:term:human:resourc:countri:ill-equip:play:effect:role:negoti:greater:timet:recognis:tight,voller
126,deal:health:area:start:commission:said:communic:diseas:drug-resist:threaten:communiti,gezondheidsterreinen
127,record:avian:flu:undergon:multipl:reassort:mutat:evolv:high:speed:point:januari:virus:emerg,vogelgriepstam
128,part:countri:south:suffer:great:shortag:food:oblig:help:popul,zwaar
129,echo:enorm:contract,druk
130,widespread:public:support:union:polici:viabl:time:stress,spanning
131,doe:alter:fact:differ:opinion:unit:state:number:european:countri:put:great:transatlant:relat,druk
132,exampl:peak:tourism:number:month:lead:increas:environment:damag:infrastructur:countri,toeristenverkeer
133,bear:mind:sever:financi:construct:new:offic:build:european:parliament:court:auditor:satisfi:appropri:procedur:follow:award:contract:construct:offic:brussel:suffici:rigor:control:minim:cost:overrun:final:cost:complex:repres:good:valu:money:european:parliament:european:taxpay,last
134,firm:peripher:region:particular:tempt:abroad:thing:cheaper:increas:job:market:communiti,werkgelegenheidssituatie
135,opinion:error:know:minor:parliament:nation:budget:social:polici:just:punish:deficit:curious:sanction:run:counter:tradit:concept:redistribut:wealth,begroting
136,presid:want:toler,lankmoedigheid
137,work:deal:problem:increas:resist:multi-disciplinari:task,resistentie
138,work:look:follow:question:inter:alia:first:misus:anti-microbi:medicin:human:medicin:second:misus:anti-microbi:medicin:addit:third:question:resist:multi-resist:germ:final:factor:respons:increas:resist,resistentie
139,discuss:parliament:manufactur:said:thing:possibl:factor:reason,last
140,sever:blow:sector:account:fragil:market:situat:salmon,druk
141,second:subject:communiti:programm:major:point:asbesto:mental:mention,belasting
142,carri:death:penalti:inevit:relat:european:union:turkey:huge,voltrekking
143,second:project:injuri:nation:democraci,verminkend
144,cent:gdp:annum:countri,inspanning
145,experi:provid:opportun:develop:polici:way:despit:van:orden:fear:unnecessarili:antagonis:alli:stress:nato,spanning
146,aggrav:long-term:pension:system,druk
147,opinion:attent:paid:ensur:livelihood:risk:cours:enorm:worker:busi:entrepreneur:want:ceas:trade,belasting
148,typic:work:caus:stress:reflect:kind:support:rapporteur:communic:commiss:year:programm:commiss:end:year,overbelasting
149,embryo:research:possibl:women:egg:cell:avail:donat:egg:cell:put:woman:great:medic:risk,belasting
150,indonesia:wish:retain:respect:import:posit:present:govern:realli:halt:violenc:european:union:clear:indonesia:polit:murder:violenc:accept:relationship:european:union:indonesia:view,druk
151,aid:grant:scale:shortsight:reason:long:purs:european:taxpay:slow:reorganis:econom:structur:member:state,gedaan
152,environ:disappear:public:eye:polit:eye:environ:increas,druk
153,quot:europ:suffer:month:orthomyxovirus:caus:repeat:current:caus:word:happen:right:president-in-offic:council:extrem:danger:centr:avian:influenza,orthomyxovirusstammen
154,given:grow:america:countri:recent:time:look:prioriti:forward:high:prioriti,spanning
155,provid:passeng:better:servic:increas:legisl:put:airlin:today:work:excel:countri:appli,belasten
156,present:transmiss:avian:influenza:human:risk:world:pandem:virus:combin:human:virus:flu:virus:creat:new:high:contagi:fatal:think:commission:eur:million:credit:just:announc:prove:tragic:inadequ,stam
157,impact:enlarg:creat:new:imbal:unexpect:chang:employ:pattern:social:cohes,werkgelegenheidspatronen
158,given:incompet:way:textil:quota:dealt:far:good:reason:draw:clear:plan:transit:free:trade:textil:cloth:product:eas:employ:southern:europ:textil:cloth:industri,overbelasting
159,key:clear:vaccin:new:vaccin:need:know,stam
160,know:vigil:prevent:utmost:import:case:low:pathogen:virus:mutat:high:pathogen:circul:short:period:poultri:popul,laagpathogeen
